"Sr","a","Ox","bg1","T","P","Tig","sigma"
"HTC_phi0_5_p10",0.0187,0.2062,0.7751,1290.5,10,52.73,5.273
"HTC_phi0_5_p10",0.0187,0.2062,0.7751,1205.3,10,138.29,13.829
"HTC_phi0_5_p10",0.0187,0.2062,0.7751,1160.5,10,218.55,21.855
"HTC_phi0_5_p10",0.0187,0.2062,0.7751,1096.6,10,658.79,65.879
"HTC_phi0_5_p10",0.0187,0.2062,0.7751,1045.4,10,1298,129.8
"HTC_phi0_5_p20",0.0187,0.2062,0.7751,1217.7,20,45.21,4.521
"HTC_phi0_5_p20",0.0187,0.2062,0.7751,1160.5,20,105.13,10.513
"HTC_phi0_5_p20",0.0187,0.2062,0.7751,1119,20,199.4,19.94
"HTC_phi0_5_p20",0.0187,0.2062,0.7751,1062.7,20,533.84,53.384
"HTC_phi0_5_p20",0.0187,0.2062,0.7751,1024.2,20,977.84,97.784
"HTC_phi0_5_p20",0.0187,0.2062,0.7751,990.5,20,1381.41,138.141
"HTC_phi0_5_p40",0.0187,0.2062,0.7751,1168.6,40,46.55,4.655
"HTC_phi0_5_p40",0.0187,0.2062,0.7751,1132.6,40,78.12,7.812
"HTC_phi0_5_p40",0.0187,0.2062,0.7751,1072.7,40,157.08,15.708
"HTC_phi0_5_p40",0.0187,0.2062,0.7751,1020.2,40,496.83,49.683
"HTC_phi0_5_p40",0.0187,0.2062,0.7751,966.9,40,1398,139.8
"HTC_phi1_0_p10",0.0368,0.2023,0.7609,1354.5,10,44.77,4.477
"HTC_phi1_0_p10",0.0368,0.2023,0.7609,1269.4,10,107.97,10.797
"HTC_phi1_0_p10",0.0368,0.2023,0.7609,1249,10,115.08,11.508
"HTC_phi1_0_p10",0.0368,0.2023,0.7609,1167.7,10,305.97,30.597
"HTC_phi1_0_p10",0.0368,0.2023,0.7609,1146.9,10,343.44,34.344
"HTC_phi1_0_p10",0.0368,0.2023,0.7609,1077.7,10,842.15,84.215
"HTC_phi1_0_p10",0.0368,0.2023,0.7609,1051.7,10,1023,102.3
"HTC_phi1_0_p20",0.0368,0.2023,0.7609,1329.6,20,28.04,2.804
"HTC_phi1_0_p20",0.0368,0.2023,0.7609,1231.1,20,94.59,9.459
"HTC_phi1_0_p20",0.0368,0.2023,0.7609,1205.9,20,122,12.2
"HTC_phi1_0_p20",0.0368,0.2023,0.7609,1107.6,20,341.38,34.138
"HTC_phi1_0_p20",0.0368,0.2023,0.7609,1034.6,20,859.99,85.999
"HTC_phi1_0_p20",0.0368,0.2023,0.7609,990.6,20,1372,137.2
"HTC_phi1_0_p40",0.0368,0.2023,0.7609,1239.7,40,44.52,4.452
"HTC_phi1_0_p40",0.0368,0.2023,0.7609,1160.3,40,103.38,10.338
"HTC_phi1_0_p40",0.0368,0.2023,0.7609,1114.7,40,187.06,18.706
"HTC_phi1_0_p40",0.0368,0.2023,0.7609,1054.9,40,372.13,37.213
"HTC_phi1_0_p40",0.0368,0.2023,0.7609,1005.7,40,621,62.1
"HTC_phi1_0_p40",0.0368,0.2023,0.7609,954,40,1204,120.4
"HTC_phi2_0_p10",0.071,0.1952,0.7338,1330.1,10,47.8,4.78
"HTC_phi2_0_p10",0.071,0.1952,0.7338,1238.6,10,126.13,12.613
"HTC_phi2_0_p10",0.071,0.1952,0.7338,1200.2,10,200.76,20.076
"HTC_phi2_0_p10",0.071,0.1952,0.7338,1147.4,10,316.52,31.652
"HTC_phi2_0_p10",0.071,0.1952,0.7338,1100.4,10,579.24,57.924
"HTC_phi2_0_p10",0.071,0.1952,0.7338,1046,10,969.71,96.971
"HTC_phi2_0_p20",0.071,0.1952,0.7338,1281.4,20,48.05,4.805
"HTC_phi2_0_p20",0.071,0.1952,0.7338,1227.8,20,77.9,7.79
"HTC_phi2_0_p20",0.071,0.1952,0.7338,1169.3,20,148.9,14.89
"HTC_phi2_0_p20",0.071,0.1952,0.7338,1122.8,20,242.25,24.225
"HTC_phi2_0_p20",0.071,0.1952,0.7338,1067.5,20,452.74,45.274
"HTC_phi2_0_p20",0.071,0.1952,0.7338,1016,20,880.26,88.026
"HTC_phi2_0_p40",0.071,0.1952,0.7338,1184.8,40,37.15,3.715
"HTC_phi2_0_p40",0.071,0.1952,0.7338,1126.9,40,93.5,9.35
"HTC_phi2_0_p40",0.071,0.1952,0.7338,1067.5,40,284.77,28.477
"HTC_phi2_0_p40",0.071,0.1952,0.7338,1024.1,40,555.12,55.512
"HTC_phi2_0_p40",0.071,0.1952,0.7338,989.8,40,898.39,89.839
