"Sr","a","Ox","bg1","T","P","Tig","sigma"
"LTC_phi0_5_p10",0.0187,0.2062,0.7751,961,10,6990,699
"LTC_phi0_5_p10",0.0187,0.2062,0.7751,929,10,14230,1423
"LTC_phi0_5_p10",0.0187,0.2062,0.7751,926,10,17100,1710
"LTC_phi0_5_p10",0.0187,0.2062,0.7751,897,10,77490,7749
"LTC_phi0_5_p10",0.0187,0.2062,0.7751,866,10,229000,22900
"LTC_phi0_5_p20",0.0187,0.2062,0.7751,935,20,6272,627.2
"LTC_phi0_5_p20",0.0187,0.2062,0.7751,903,20,13960,1396
"LTC_phi0_5_p20",0.0187,0.2062,0.7751,869,20,31480,3148
"LTC_phi0_5_p20",0.0187,0.2062,0.7751,838,20,53730,5373
"LTC_phi0_5_p20",0.0187,0.2062,0.7751,805,20,89910,8991
"LTC_phi0_5_p20",0.0187,0.2062,0.7751,770,20,163800,16380
"LTC_phi0_5_p40",0.0187,0.2062,0.7751,906,40,3644,364.4
"LTC_phi0_5_p40",0.0187,0.2062,0.7751,872,40,9879,987.9
"LTC_phi0_5_p40",0.0187,0.2062,0.7751,844,40,17920,1792
"LTC_phi0_5_p40",0.0187,0.2062,0.7751,812,40,29270,2927
"LTC_phi0_5_p40",0.0187,0.2062,0.7751,779,40,41070,4107
"LTC_phi0_5_p40",0.0187,0.2062,0.7751,741,40,46460,4646
"LTC_phi0_5_p40",0.0187,0.2062,0.7751,713,40,60620,6062
"LTC_phi0_5_p40",0.0187,0.2062,0.7751,685,40,99660,9966
"LTC_phi0_5_p40",0.0187,0.2062,0.7751,660,40,206800,20680
"LTC_phi1_0_p10",0.0368,0.2023,0.7609,945,10,6545,654.5
"LTC_phi1_0_p10",0.0368,0.2023,0.7609,909,10,18490,1849
"LTC_phi1_0_p10",0.0368,0.2023,0.7609,880,10,47250,4725
"LTC_phi1_0_p10",0.0368,0.2023,0.7609,852,10,126500,12650
"LTC_phi1_0_p10",0.0368,0.2023,0.7609,822,10,259600,25960
"LTC_phi1_0_p20",0.0368,0.2023,0.7609,916,20,6781,678.1
"LTC_phi1_0_p20",0.0368,0.2023,0.7609,886,20,15270,1527
"LTC_phi1_0_p20",0.0368,0.2023,0.7609,856,20,30700,3070
"LTC_phi1_0_p20",0.0368,0.2023,0.7609,826,20,48830,4883
"LTC_phi1_0_p20",0.0368,0.2023,0.7609,794,20,69010,6901
"LTC_phi1_0_p20",0.0368,0.2023,0.7609,765,20,90950,9095
"LTC_phi1_0_p20",0.0368,0.2023,0.7609,732,20,115600,11560
"LTC_phi1_0_p20",0.0368,0.2023,0.7609,702,20,150200,15020
"LTC_phi1_0_p40",0.0368,0.2023,0.7609,857,40,7267,726.7
"LTC_phi1_0_p40",0.0368,0.2023,0.7609,827,40,11130,1113
"LTC_phi1_0_p40",0.0368,0.2023,0.7609,796,40,16200,1620
"LTC_phi1_0_p40",0.0368,0.2023,0.7609,767,40,21240,2124
"LTC_phi1_0_p40",0.0368,0.2023,0.7609,736,40,28110,2811
"LTC_phi1_0_p40",0.0368,0.2023,0.7609,712,40,37670,3767
"LTC_phi1_0_p40",0.0368,0.2023,0.7609,694,40,50440,5044
"LTC_phi1_0_p40",0.0368,0.2023,0.7609,668,40,86120,8612
"LTC_phi1_0_p40",0.0368,0.2023,0.7609,645,40,197500,19750
"LTC_phi2_0_p10",0.071,0.1952,0.7338,956,10,6962,696.2
"LTC_phi2_0_p10",0.071,0.1952,0.7338,927,10,20800,2080
"LTC_phi2_0_p10",0.071,0.1952,0.7338,892,10,70240,7024
"LTC_phi2_0_p10",0.071,0.1952,0.7338,864,10,157800,15780
"LTC_phi2_0_p10",0.071,0.1952,0.7338,812,10,191700,19170
"LTC_phi2_0_p10",0.071,0.1952,0.7338,786,10,279000,27900
"LTC_phi2_0_p10",0.071,0.1952,0.7338,760,10,321500,32150
"LTC_phi2_0_p20",0.071,0.1952,0.7338,930,20,6920,692
"LTC_phi2_0_p20",0.071,0.1952,0.7338,898,20,16380,1638
"LTC_phi2_0_p20",0.071,0.1952,0.7338,867,20,29670,2967
"LTC_phi2_0_p20",0.071,0.1952,0.7338,815,20,42780,4278
"LTC_phi2_0_p20",0.071,0.1952,0.7338,790,20,53730,5373
"LTC_phi2_0_p20",0.071,0.1952,0.7338,763,20,65320,6532
"LTC_phi2_0_p20",0.071,0.1952,0.7338,736,20,76540,7654
"LTC_phi2_0_p20",0.071,0.1952,0.7338,705,20,105200,10520
"LTC_phi2_0_p20",0.071,0.1952,0.7338,680,20,161000,16100
"LTC_phi2_0_p40",0.071,0.1952,0.7338,841,40,7474,747.4
"LTC_phi2_0_p40",0.071,0.1952,0.7338,817,40,10610,1061
"LTC_phi2_0_p40",0.071,0.1952,0.7338,793,40,12710,1271
"LTC_phi2_0_p40",0.071,0.1952,0.7338,765,40,15190,1519
"LTC_phi2_0_p40",0.071,0.1952,0.7338,736,40,20040,2004
"LTC_phi2_0_p40",0.071,0.1952,0.7338,712,40,28940,2894
"LTC_phi2_0_p40",0.071,0.1952,0.7338,684,40,50410,5041
"LTC_phi2_0_p40",0.071,0.1952,0.7338,659,40,77060,7706
"LTC_phi2_0_p40",0.071,0.1952,0.7338,635,40,155100,15510
