#Data_structure:,,,,,,,,,,
Sr,a,Ox,bg1,bg2,Ti,T,Pi,P,RCM,sigma
RCM_phi_1_mix_5_15,0.02,0.13,0.5949,0.2549,333,935,430,15,57.6,5.76
RCM_phi_1_mix_5_15,0.02,0.13,0.5949,0.2549,353,982,430,15,17.5,1.75
RCM_phi_1_mix_5_30,0.02,0.13,0.5949,0.2549,308,884,850,30,26.3,2.63
RCM_phi_1_mix_5_30,0.02,0.13,0.5949,0.2549,323,918,850,30,9.9,0.99
RCM_phi_1_mix_4_20,0.02,0.130031948882,0.69697380191676,0.15299424920124,313,921,600,20,24.3,2.43
RCM_phi_1_mix_4_20,0.02,0.130031948882,0.69697380191676,0.15299424920124,328,959,600,20,10.3,1.03
RCM_phi_0_5_mix_3_40,0.01,0.130031948882,0.429984025559,0.429984025559,309,886,1150,40,48.8,4.88
RCM_phi_0_5_mix_3_40,0.01,0.130031948882,0.429984025559,0.429984025559,328,936,1150,40,7.2,0.72
RCM_phi_0_5_mix_3_30,0.01,0.130031948882,0.429984025559,0.429984025559,318,914,845,30,43.8,4.38
RCM_phi_0_5_mix_3_30,0.01,0.130031948882,0.429984025559,0.429984025559,338,964,845,30,7,0.7
RCM_phi_0_5_mix_1_10,0.01,0.130031948882,0.7309728434503,0.1289952076677,313,1016,290,10,77.6,7.76
RCM_phi_0_5_mix_1_10,0.01,0.130031948882,0.7309728434503,0.1289952076677,338,1083,290,10,12.4,1.24
RCM_phi_0_5_mix_1_15,0.01,0.130031948882,0.7309728434503,0.1289952076677,313,1024,400,15,13.8,1.38
RCM_phi_0_5_mix_1_15,0.01,0.130031948882,0.7309728434503,0.1289952076677,328,1066,400,15,6.6,0.66
RCM_phi_0_5_mix_2_15,0.01,0.130031948882,0.5589792332267,0.3009888178913,323,966,430,15,88.3,8.83
RCM_phi_0_5_mix_2_15,0.01,0.130031948882,0.5589792332267,0.3009888178913,338,1004,430,15,27.3,2.73
RCM_phi_1_5_mix_6_40,0.0100000005,0.0433439851278658,0.378662405748854,0.56799360862328,313,890,1100,40,71.4,7.14
RCM_phi_1_5_mix_6_40,0.0100000005,0.0433439851278658,0.378662405748854,0.56799360862328,338,948,1100,40,17.8,1.78
RCM_phi_1_5_mix_7_30,0.0100000005,0.0433439851278658,0.520660807904674,0.42599520646746,308,919,830,30,73.5,7.35
RCM_phi_1_5_mix_7_30,0.0100000005,0.0433439851278658,0.520660807904674,0.42599520646746,338,995,840,30,20.9,2.09
RCM_phi_1_5_mix_7_20,0.0100000005,0.0433439851278658,0.520660807904674,0.42599520646746,338,992,570,20,77.1,7.71
RCM_phi_1_5_mix_7_20,0.0100000005,0.0433439851278658,0.520660807904674,0.42599520646746,368,1073,585,20,27.9,2.79
