#Data_structure:,,,,,,,
"Sr","a","Ox","bg1","T","P","Tig","sigma"
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,684.32,30.31,120.978,60.489
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,698.71,30.24,85.52,42.76
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,719.03,29.78,54.544,27.272
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,718.84,29.65,54.776,27.388
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,740.79,29.62,46.404,23.202
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,736.66,28.85,46.76,23.38
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,762.34,29.4,47.99,23.995
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,794.22,29.65,58.972,29.486
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,793.21,29.48,63.808,31.904
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,806.6,30.03,54.024,27.012
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,808.6,30.23,51.364,25.682
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,817.78,29.05,53.744,26.872
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,820.07,29.45,52.008,26.004
"ing_Butanoate",0.0313,0.2035,0.7652,832.82,30,57.7,5.77
"ing_Butanoate",0.0313,0.2035,0.7652,845.45,30,37.4,3.74
"ing_Butanoate",0.0313,0.2035,0.7652,858.77,30,21.6,2.16
"ing_Butanoate",0.0313,0.2035,0.7652,869.05,30,12.6,1.26
"ing_Butanoate",0.0313,0.2035,0.7652,881.23,30,10,1
"ing_Butanoate",0.0313,0.2035,0.7652,895.8,30,5.7,0.57
"ing_Butanoate",0.0313,0.2035,0.7652,908.54,30,4.4,0.44
