"#Data_structure:",,,,,,,
"Sr","a","Ox","bg1","T","P","Tig","sigma"
"IGN_PHI_0_25_P_1",0.01,0.26,0.73,1580.12830641848,1,21.92,2.192
"IGN_PHI_0_25_P_1",0.01,0.26,0.73,1506.84105840516,1,47.12,4.712
"IGN_PHI_0_25_P_1",0.01,0.26,0.73,1442.21062043901,1,72.3,7.23
"IGN_PHI_0_25_P_1",0.01,0.26,0.73,1374.96734452557,1,163.71,16.371
"IGN_PHI_0_25_P_1",0.01,0.26,0.73,1324.34544226516,1,405.93,40.593
"IGN_PHI_0_25_P_1",0.01,0.26,0.73,1287.81342159148,1,872.66,87.266
"IGN_PHI_0_25_P_4",0.01,0.26,0.73,1568.33223550077,4,14.95,1.495
"IGN_PHI_0_25_P_4",0.01,0.26,0.73,1472.84081536468,4,25.28,2.528
"IGN_PHI_0_25_P_4",0.01,0.26,0.73,1401.91501591174,4,74.2,7.42
"IGN_PHI_0_25_P_4",0.01,0.26,0.73,1368.53197574961,4,102.63,10.263
"IGN_PHI_0_25_P_4",0.01,0.26,0.73,1292.77468230062,4,308.13,30.813
"IGN_PHI_1_P_1",0.01,0.065,0.925,1601.89664562842,1,64.3,6.43
"IGN_PHI_1_P_1",0.01,0.065,0.925,1541.54462771697,1,99.68,9.968
"IGN_PHI_1_P_1",0.01,0.065,0.925,1488.29456325996,1,139.73,13.973
"IGN_PHI_1_P_1",0.01,0.065,0.925,1402.4065296048,1,331.48,33.148
"IGN_PHI_1_P_1",0.01,0.065,0.925,1371.87384248145,1,553.73,55.373
"IGN_PHI_1_P_4",0.01,0.065,0.925,1573.6384093663,4,37.87,3.787
"IGN_PHI_1_P_4",0.01,0.065,0.925,1497.18529165169,4,63.67,6.367
"IGN_PHI_1_P_4",0.01,0.065,0.925,1402.38686243987,4,189.61,18.961
"IGN_PHI_1_P_4",0.01,0.065,0.925,1377.82799195348,4,236.46,23.646
"IGN_PHI_1_5_P_1",0.015,0.065,0.92,1651.5822157627,1,60.13,6.013
"IGN_PHI_1_5_P_1",0.015,0.065,0.92,1586.4202427223,1,73.08,7.308
"IGN_PHI_1_5_P_1",0.015,0.065,0.92,1482.86548927147,1,184.81,18.481
"IGN_PHI_1_5_P_1",0.015,0.065,0.92,1384.77303569945,1,560.08,56.008
"IGN_PHI_1_5_P_4",0.015,0.065,0.92,1639.15616240759,4,20.85,2.085
"IGN_PHI_1_5_P_4",0.015,0.065,0.92,1530.29213276815,4,50.51,5.051
"IGN_PHI_1_5_P_4",0.015,0.065,0.92,1483.32740002373,4,81.13,8.113
"IGN_PHI_1_5_P_4",0.015,0.065,0.92,1403.03617027247,4,183.12,18.312
"IGN_PHI_1_5_P_4",0.015,0.065,0.92,1380.71963107171,4,262.75,26.275
"IGN_PHI_1_5_P_4",0.015,0.065,0.92,1325.48645352844,4,519.74,51.974
