#Data_structure:,,,,,,,,
Sr,a,Ox,bg1,res,T,P,JSR,sigma
PHI_1_13_CO2,0.075,0.65,99.275,0.07,980.51948051948,1,3.30145499199911E-05,3.30145499199911E-06
PHI_1_13_CO2,0.075,0.65,99.275,0.07,1012.72727272727,1,2.73806422803556E-05,2.73806422803556E-06
PHI_1_13_CO2,0.075,0.65,99.275,0.07,1043.37662337662,1,2.47460276113573E-05,2.47460276113573E-06
PHI_1_13_CO2,0.075,0.65,99.275,0.07,1076.1038961039,1,-9.89841104454383E-07,-9.89841104454383E-08
PHI_1_13_CO2,0.075,0.65,99.275,0.07,1119.22077922078,1,2.96877907193071E-05,2.96877907193071E-06
PHI_1_13_CO2,0.075,0.65,99.275,0.07,1154.02597402597,1,0.000118386484576,1.18386484575593E-05
PHI_1_13_CO2,0.075,0.65,99.275,0.07,1187.79220779221,1,0.000201443828378,2.01443828377924E-05
PHI_1_13_CO2,0.075,0.65,99.275,0.07,1199.74025974026,1,0.000378067205001,3.78067205001301E-05
PHI_1_13_CO2,0.075,0.65,99.275,0.07,1205.45454545455,1,0.001374710676143,0.000137471067614
PHI_1_13_CO2,0.075,0.65,99.275,0.07,1209.61038961039,1,0.00209068581848,0.000209068581848
PHI_1_13_CO2,0.075,0.65,99.275,0.07,1228.83116883117,1,0.002306798645481,0.000230679864548
PHI_1_13_CO2,0.075,0.65,99.275,0.07,1249.09090909091,1,0.002425400960071,0.000242540096007
PHI_1_13_CO2,0.075,0.65,99.275,0.07,1268.83116883117,1,0.002498202656942,0.000249820265694
PHI_1_13_CO2,0.075,0.65,99.275,0.07,1290.12987012987,1,0.002582331708406,0.000258233170841
PHI_1_13_CO2,0.075,0.65,99.275,0.07,1328.05194805195,1,0.002665031816321,0.000266503181632
PHI_1_13_CO2,0.075,0.65,99.275,0.07,1360.25974025974,1,0.002685185874298,0.00026851858743
PHI_1_13_CO2,0.075,0.65,99.275,0.07,1399.74025974026,1,0.002704714769471,0.000270471476947
PHI_1_13_CO,0.075,0.65,99.275,0.07,1107.3639592848,1,9.79075251485043E-05,9.79075251485043E-06
PHI_1_13_CO,0.075,0.65,99.275,0.07,1148.55675949972,1,0.000461299662697,4.61299662696636E-05
PHI_1_13_CO,0.075,0.65,99.275,0.07,1180.48117966628,1,0.000892928569296,8.92928569296441E-05
PHI_1_13_CO,0.075,0.65,99.275,0.07,1200.30894600161,1,0.001249365690576,0.000124936569058
PHI_1_13_CO,0.075,0.65,99.275,0.07,1211.78472284409,1,0.001593862869765,0.000159386286977
PHI_1_13_CO,0.075,0.65,99.275,0.07,1240.53311841438,1,0.001326169368079,0.000132616936808
PHI_1_13_CO,0.075,0.65,99.275,0.07,1269.47852302916,1,0.001184561654876,0.000118456165488
PHI_1_13_CO,0.075,0.65,99.275,0.07,1300.60595206113,1,0.001106116235336,0.000110611623534
PHI_1_13_CO,0.075,0.65,99.275,0.07,1330.76326079819,1,0.001073460493717,0.000107346049372
