#SpecName      Dummy     eps/k     sigma     Dummy     Dummy     Dummy
N2                 0    97.530     3.621     0.000     0.000     0.000
H2                 0    38.000     2.920     0.000     0.000     0.000
HE                 0    10.200     2.576     0.000     0.000     0.000
H                  0   145.000     2.050     0.000     0.000     0.000
AR                 0   136.500     3.330     0.000     0.000     0.000
O                  0    80.000     2.750     0.000     0.000     0.000
O2                 0   107.400     3.458     0.000     0.000     0.000
OH                 0    80.000     2.750     0.000     0.000     0.000
H2O                0   572.400     2.605     0.000     0.000     0.000
HO2                0   107.400     3.458     0.000     0.000     0.000
H2O2               0   107.400     3.458     0.000     0.000     0.000
C                  0    71.400     3.298     0.000     0.000     0.000
CO                 0    98.100     3.650     0.000     0.000     0.000
CH                 0    80.000     2.750     0.000     0.000     0.000
CH3                0   144.000     3.800     0.000     0.000     0.000
CH2O               0   498.000     3.590     0.000     0.000     0.000
HCO                0   498.000     3.590     0.000     0.000     0.000
T-CH2              0   144.000     3.800     0.000     0.000     0.000
S-CH2              0   144.000     3.800     0.000     0.000     0.000
CH3OH              0   481.800     3.626     0.000     0.000     0.000
C2H                0   265.300     3.721     0.000     0.000     0.000
C2H2               0   265.300     3.721     0.000     0.000     0.000
CO2                0   244.000     3.763     0.000     0.000     0.000
C2H3               0   265.300     3.721     0.000     0.000     0.000
C2H4               0   238.400     3.496     0.000     0.000     0.000
CH4                0   141.400     3.746     0.000     0.000     0.000
CH3O               0   417.000     3.690     0.000     0.000     0.000
CH3O2              0   481.800     3.626     0.000     0.000     0.000
C2H5               0   247.500     4.350     0.000     0.000     0.000
CH2CO              0   436.000     3.970     0.000     0.000     0.000
HCCO               0   150.000     2.500     0.000     0.000     0.000
O2CHO              0   436.000     3.970     0.000     0.000     0.000
HOCHO              0   436.000     3.970     0.000     0.000     0.000
CH3CHO             0   436.000     3.970     0.000     0.000     0.000
CH2OH              0   417.000     3.690     0.000     0.000     0.000
HOCH2O             0   470.600     4.410     0.000     0.000     0.000
OCHO               0   498.000     3.590     0.000     0.000     0.000
CH3CO2             0   436.000     3.970     0.000     0.000     0.000
HO2CHO             0   436.000     3.970     0.000     0.000     0.000
C3H2O              0   252.000     4.760     0.000     0.000     0.000
C3H3               0   324.800     4.290     0.000     0.000     0.000
HCCOH              0   436.000     3.970     0.000     0.000     0.000
H2C2               0   209.000     4.100     0.000     0.000     0.000
N-C4H3             0   357.000     5.180     0.000     0.000     0.000
S-C3H5             0   266.800     4.982     0.000     0.000     0.000
C4H4               0   357.000     5.180     0.000     0.000     0.000
I-C4H5             0   357.000     5.180     0.000     0.000     0.000
N-C4H5             0   357.000     5.180     0.000     0.000     0.000
CH2CHO             0   436.000     3.970     0.000     0.000     0.000
A-C3H5             0   266.800     4.982     0.000     0.000     0.000
C4H6               0   357.000     4.720     0.000     0.000     0.000
C2H3CHO            0   428.800     4.958     0.000     0.000     0.000
C2H5O              0   470.600     4.410     0.000     0.000     0.000
C3H6O1-2           0   403.600     4.968     0.000     0.000     0.000
C4H7               0   355.000     4.650     0.000     0.000     0.000
N-C3H7             0   303.400     4.810     0.000     0.000     0.000
I-C3H7             0   303.400     4.810     0.000     0.000     0.000
C2H5CO             0   424.600     4.820     0.000     0.000     0.000
C2H4O2H            0   470.600     4.410     0.000     0.000     0.000
C2H6               0   247.500     4.350     0.000     0.000     0.000
P-C4H8             0   345.700     5.088     0.000     0.000     0.000
C2H5CHO            0   435.200     4.662     0.000     0.000     0.000
C2H5O2             0   470.600     4.410     0.000     0.000     0.000
C2O                0   232.400     3.828     0.000     0.000     0.000
CH3COCH2           0   435.500     4.860     0.000     0.000     0.000
C2H5COCH2           0   454.000     5.413     0.000     0.000     0.000
CH3CO              0   436.000     3.970     0.000     0.000     0.000
CH3COCH2O           0   435.200     4.662     0.000     0.000     0.000
