Rxn,Unsrt,data_type
2209,4,constant;end_points
3963,4,constant;end_points
2233,4,constant;end_points
2220,4,constant;end_points
2282,4,constant;end_points
3969,4,constant;end_points
3971,4,constant;end_points
2269,4,constant;end_points
3965,4,constant;end_points
2195,4,constant;end_points
2275,4,constant;end_points
3981,4,constant;end_points
3970,4,constant;end_points
3975,4,constant;end_points
2272,4,constant;end_points
3964,4,constant;end_points
2271,4,constant;end_points
3977,4,constant;end_points
3973,4,constant;end_points
2277,4,constant;end_points
2215,4,constant;end_points
2270,4,constant;end_points
3966,4,constant;end_points
2279,4,constant;end_points
3140,4,constant;end_points
2312,4,constant;end_points
3972,4,constant;end_points
3138,4,constant;end_points
2268,4,constant;end_points
2251,4,constant;end_points
2267,4,constant;end_points
3983,4,constant;end_points
2187,4,constant;end_points
3976,4,constant;end_points
3984,4,constant;end_points
3982,4,constant;end_points
2221,4,constant;end_points
2230,4,constant;end_points
2190,4,constant;end_points
2175,4,constant;end_points
2191,4,constant;end_points
2204,4,constant;end_points
