Rxn,Unsrt,data_type
2208,4,constant;end_points
2233,4,constant;end_points
2220,4,constant;end_points
2196,4,constant;end_points
2201,4,constant;end_points
2187,4,constant;end_points
2195,4,constant;end_points
2199,4,constant;end_points
2219,4,constant;end_points
2223,4,constant;end_points
2210,4,constant;end_points
2161,4,constant;end_points
2190,4,constant;end_points
2229,4,constant;end_points
2175,4,constant;end_points
2191,4,constant;end_points
2243,4,constant;end_points
2245,4,constant;end_points
2231,4,constant;end_points
2225,4,constant;end_points
2164,4,constant;end_points
