Rxn,Unsrt,data_type
2190,4,constant;end_points
2191,4,constant;end_points
3927,4,constant;end_points
2225,4,constant;end_points
2220,4,constant;end_points
2229,4,constant;end_points
2233,4,constant;end_points
2203,4,constant;end_points
2209,4,constant;end_points
2151,4,constant;end_points
2201,4,constant;end_points
2162,4,constant;end_points
2384,4,constant;end_points
2148,4,constant;end_points
2134,4,constant;end_points
3935,4,constant;end_points
2139,4,constant;end_points
2161,4,constant;end_points
2159,4,constant;end_points
2189,4,constant;end_points
2180,4,constant;end_points
2197,4,constant;end_points
2210,4,constant;end_points
2214,4,constant;end_points
2222,4,constant;end_points
2145,4,constant;end_points
2160,4,constant;end_points
2170,4,constant;end_points
