#Data_structure:,,,,,,,,,,
Sr,a,b,c,d,Ox,bg1,T,P,Tig,sigma
PHI_1_P_1_66_OH,0,0.00501,0,0,0.005,0.98999,1364,1.66,400,5.3
PHI_1_P_1_55_OH,0,0.0015,0,0,0.0015,0.997,1524,1.55,400,5.3
PHI_1_P_1_66_CO,0,0.00501,0,0,0.005,0.98999,1364,1.66,90,9
PHI_1_P_1_55_CO,0,0.0015,0,0,0.0015,0.997,1524,1.55,260,27
Methane_Phi_1_P_1,0.00333,0,0,0,0.00667,0.99,1842,1,891,8.91
Methane_Phi_1_P_1,0.00333,0,0,0,0.00667,0.99,1916,1,691,6.91
Methane_Phi_1_P_1,0.00333,0,0,0,0.00667,0.99,2089,1,238,2.38
Methane_Phi_1_P_4,0.00333,0,0,0,0.00667,0.99,1642,4,1246,12.46
Methane_Phi_1_P_4,0.00333,0,0,0,0.00667,0.99,1965,4,116,1.16
Methane_Phi_2_P_1,0.005,0,0,0,0.005,0.99,1829,1,1337,13.37
Methane_Phi_2_P_1,0.005,0,0,0,0.005,0.99,1933,1,590,5.9
Methane_Phi_2_P_1,0.005,0,0,0,0.005,0.99,2046,1,374,3.74
Methane_Phi_2_P_4,0.005,0,0,0,0.005,0.99,1698,4,1034,10.34
Methane_Phi_2_P_4,0.005,0,0,0,0.005,0.99,1870,4,301,3.01
Syn_PHI_0_5_80_20_Ar_0_94_P_1,0,0,0.032,0.008,0.02,0.94,1245,1,201,0.0465
Syn_PHI_0_5_80_20_Ar_0_94_P_1,0,0,0.032,0.008,0.02,0.94,1176,1,220,0.0658
Syn_PHI_0_5_80_20_Ar_0_94_P_1,0,0,0.032,0.008,0.02,0.94,964,1,1294,0.0765
Syn_PHI_0_5_80_20_Ar_0_79_P_1,0,0,0.112,0.028,0.07,0.79,1205,1,83,0.0548
Syn_PHI_0_5_80_20_Ar_0_79_P_1,0,0,0.112,0.028,0.07,0.79,1098,1,135,0.0743
Syn_PHI_0_5_80_20_Ar_0_79_P_1,0,0,0.112,0.028,0.07,0.79,914,1,1220,0.0564
Syn_PHI_0_5_20_80_Ar_0_94_P_1,0,0,0.008,0.032,0.02,0.94,1288,1,177,0.0696
Syn_PHI_0_5_20_80_Ar_0_94_P_1,0,0,0.008,0.032,0.02,0.94,1152,1,478,0.0614
Syn_PHI_0_5_20_80_Ar_0_94_P_1,0,0,0.008,0.032,0.02,0.94,918,1,3806,0.0633
Syn_PHI_0_5_20_80_Ar_0_79_P_1,0,0,0.028,0.112,0.07,0.79,1282,1,80,0.0442
Syn_PHI_0_5_20_80_Ar_0_79_P_1,0,0,0.028,0.112,0.07,0.79,1090,1,225,0.06
Syn_PHI_0_5_20_80_Ar_0_79_P_1,0,0,0.028,0.112,0.07,0.79,933,1,1099,0.0616
Methane_Phi_1_P_4_Sp_Prof_CO2,0.00333,0,0,0,0.00667,0.99,1926,4.16,250,0.05
Methane_Phi_1_P_1_12_Sp_Prof_CO,0.00333,0,0,0,0.00667,0.99,1916,1.12,700,0.07
