"Sr","a","Ox","bg1","bg2","T","P","Tig","sigma"
"HTC_phi0_5_p20",0.017206,0.20647,0,0.77633,1063.56429829712,20,139.483949827687,13.9483949827687
"HTC_phi0_5_p20",0.017206,0.20647,0,0.77633,1020.42253521127,20,229.067825601182,22.9067825601182
"HTC_phi0_5_p20",0.017206,0.20647,0,0.77633,961.895910780669,20,334.377451823238,33.4377451823238
"HTC_phi1_0_p10",0.03383,0.20298,0,0.76319,1063.6778983438,10,137.63961700864,13.763961700864
"HTC_phi1_0_p10",0.03383,0.20298,0,0.76319,1019.98904709748,10,229.750541951151,22.9750541951151
"HTC_phi1_0_p10",0.03383,0.20298,0,0.76319,962.035123966942,10,337.905928543877,33.7905928543877
"HTC_phi1_0_p20",0.03383,0.20298,0,0.76319,1031.85595567867,20,116.263937258419,11.6263937258419
"HTC_phi1_0_p20",0.03383,0.20298,0,0.76319,990.16480595428,20,144.439462582771,14.4439462582771
"HTC_phi1_0_p20",0.03383,0.20298,0,0.76319,970.557582073997,20,168.946302384266,16.8946302384266
"HTC_phi1_0_p20",0.03383,0.20298,0,0.76319,952.19836400818,20,154.341129930415,15.4341129930415
