#Data_structure:											
Sr	a	b	c	Ox	bg1	P	T	Pi	Ti	RCM(ms)	RCM'(ms)
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	10	665 	1.586	413.15	57	
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	10	685 	1.41	413.15	31.2	24.6
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	10	701 	1.287	413.15	21.9	14.46
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	10	715 	1.184	413.15	16	7.64
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	10	733 	1.072	413.15	13.5	4.14
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	10	749 	0.985	413.15	12.4	2.44
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	10	767 	0.895	413.15	12.7	1.34
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	10	785 	0.809	413.15	14.3	1.04
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	10	804 	0.736	413.15	17.5	
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	10	822 	0.67	413.15	19.5	
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	10	842 	0.607	413.15	18.4	
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	10	862 	0.549	413.15	14.6	
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	15	664 	2.359	413.15	38.6 	
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	15	686 	2.099	413.15	20.9 	
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	15	702 	1.92	413.15	13.5 	10.5 
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	15	716 	1.77	413.15	8.6 	5.5 
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	15	733 	1.614	413.15	5.9 	2.4 
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	15	749 	1.469	413.15	5.1 	1.2 
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	15	767 	1.342	413.15	5.1 	0.9 
RP3_PHI_0.5	0.002891	0.001274	0.001687	0.2088	0.7853	15	782 	1.23	413.15	5.3 	
RP3_PHI_1.0	0.005876	0.002549	0.003375	0.2075	0.7807	10	641 	1.634	413.15	65.2 	
RP3_PHI_1.0	0.005876	0.002549	0.003375	0.2075	0.7807	10	654 	1.491	413.15	34.5 	
RP3_PHI_1.0	0.005876	0.002549	0.003375	0.2075	0.7807	10	670 	1.34	413.15	21.4 	
RP3_PHI_1.0	0.005876	0.002549	0.003375	0.2075	0.7807	10	687 	1.213	413.15	11.5 	9.8 
RP3_PHI_1.0	0.005876	0.002549	0.003375	0.2075	0.7807	10	701 	1.11	413.15	7.8 	6.1 
RP3_PHI_1.0	0.005876	0.002549	0.003375	0.2075	0.7807	10	717 	1	413.15	5.3 	3.9 
RP3_PHI_1.0	0.005876	0.002549	0.003375	0.2075	0.7807	10	731 	0.92	413.15	4.3 	2.2 
RP3_PHI_1.0	0.005876	0.002549	0.003375	0.2075	0.7807	10	746 	0.84	413.15	3.7 	1.0 
RP3_PHI_1.5	0.008765	0.003802	0.005034	0.2063	0.7761	10	623 	1.66	413.15	141.6	
RP3_PHI_1.5	0.008765	0.003802	0.005034	0.2063	0.7761	10	641 	1.46	413.15	59.9	
