"time(s), volume(cm3)",
0,9.799211408
0.0004,9.805820305
0.0008,9.809663781
0.0012,9.809108835
0.0016,9.810972158
0.002,9.814661593
0.0024,9.815693627
0.0028,9.815574534
0.0032,9.816487672
0.0036,9.816170036
0.004,9.814780662
0.0044,9.814979115
0.0048,9.814066303
0.0052,9.807682168
0.0056,9.799250952
0.006,9.795535509
0.0064,9.797432346
0.0068,9.803167582
0.0072,9.811923961
0.0076,9.81958588
0.008,9.822050186
0.0084,9.821692374
0.0088,9.821692374
0.0092,9.819864036
0.0096,9.81438378
0.01,9.807602923
0.0104,9.802653069
0.0108,9.802099049
0.0112,9.806295596
0.0116,9.812518947
0.012,9.818711796
0.0124,9.824317032
0.0128,9.827261776
0.0132,9.825669767
0.0136,9.820579378
0.014,9.815018808
0.0144,9.813590133
0.0148,9.818950164
0.0152,9.826067713
0.0156,9.827341392
0.016,9.820658868
0.0164,9.8090692
0.0168,9.800279209
0.0172,9.802890529
0.0176,9.811170432
0.018,9.808871024
0.0184,9.796681413
0.0188,9.792889274
0.0192,9.801228592
0.0196,9.805226265
0.02,9.797037101
0.0204,9.787286347
0.0208,9.783936059
0.0212,9.78145463
0.0216,9.775631016
0.022,9.770640172
0.0224,9.766204493
0.0228,9.755272781
0.0232,9.739415883
0.0236,9.72579432
0.024,9.713224198
0.0244,9.699572031
0.0248,9.690045971
0.0252,9.684079213
0.0256,9.675471411
0.026,9.666077043
0.0264,9.656933218
0.0268,9.640608808
0.0272,9.619498185
0.0276,9.606604089
0.028,9.600492556
0.0284,9.587770491
0.0288,9.566704022
0.0292,9.543699807
0.0296,9.519936953
0.03,9.497598078
0.0304,9.480027057
0.0308,9.461074051
0.0312,9.434383681
0.0316,9.408335671
0.032,9.391039362
0.0324,9.374494495
0.0328,9.350708022
0.0332,9.325581886
0.0336,9.302888778
0.034,9.276563944
0.0344,9.24581689
0.0348,9.217396935
0.0352,9.19112046
0.0356,9.160318117
0.036,9.124595116
0.0364,9.090920782
0.0368,9.063397713
