"time(s), volume(cm3)",
0,9.525233406
0.0004,9.531661384
0.0008,9.541563083
0.0012,9.551295995
0.0016,9.55737883
0.002,9.558731806
0.0024,9.556895735
0.0028,9.554481107
0.0032,9.552936501
0.0036,9.551971417
0.004,9.550427762
0.0044,9.54743859
0.0048,9.543199669
0.0052,9.538676604
0.0056,9.535215529
0.006,9.534350722
0.0064,9.536945698
0.0068,9.542429429
0.0072,9.54772777
0.0076,9.549366835
0.008,9.545703951
0.0084,9.539061349
0.0088,9.533870353
0.0092,9.532525619
0.0096,9.533582156
0.01,9.533101878
0.0104,9.528494092
0.0108,9.521879549
0.0112,9.518528466
0.0116,9.522071125
0.012,9.531853422
0.0124,9.54271825
0.0128,9.549463272
0.0132,9.550234845
0.0136,9.546667551
0.014,9.541755589
0.0144,9.536849558
0.0148,9.531757402
0.0152,9.526288048
0.0156,9.521017578
0.016,9.517284483
0.0164,9.515084523
0.0168,9.51193014
0.0172,9.504388705
0.0176,9.4911536
0.018,9.475120127
0.0184,9.461980383
0.0188,9.455756324
0.0192,9.455756324
0.0196,9.456415993
0.02,9.451800557
0.0204,9.440613614
0.0208,9.426650149
0.0212,9.415532875
0.0216,9.408914515
0.022,9.402958016
0.0224,9.391442441
0.0228,9.37136958
0.0232,9.345342284
0.0236,9.319210717
0.024,9.297413972
0.0244,9.280603533
0.0248,9.265570911
0.0252,9.248805591
0.0256,9.228549447
0.026,9.20565288
0.0264,9.182097429
0.0268,9.160082069
0.0272,9.140539024
0.0276,9.12291242
0.028,9.105365252
0.0284,9.085665364
0.0288,9.061969393
0.0292,9.034435811
0.0296,9.004407973
0.03,8.97427964
0.0304,8.945958272
0.0308,8.920063868
0.0312,8.89548752
0.0316,8.870014556
0.032,8.841329528
0.0324,8.808150183
0.0328,8.770992449
0.0332,8.731931716
0.0336,8.693430807
0.034,8.656857044
0.0344,8.621703967
0.0348,8.586958432
0.0352,8.552092007
0.0356,8.517481545
0.036,8.483854742
0.0364,8.450609527
0.0368,8.415730531
0.0372,8.377282242
0.0376,8.33517294
0.038,8.291892646
0.0384,8.249955622
0.0388,8.209661585
0.0392,8.168620664
0.0396,8.124025667
0.04,8.075759893
0.0404,8.027324267
0.0408,7.982729853
0.0412,7.943155208
0.0416,7.905832696
0.042,7.865976313
0.0424,7.820478732
0.0428,7.76987351
0.0432,7.717272354
0.0436,7.665494956
0.044,7.615486409
0.0444,7.566008942
0.0448,7.515016993
0.0452,7.461028246
0.0456,7.403626305
0.046,7.343641841
0.0464,7.282731051
0.0468,7.222232247
0.0472,7.1626456
0.0476,7.103419337
0.048,7.043805985
0.0484,6.983580763
0.0488,6.923085658
0.0492,6.862860423
0.0496,6.803141688
0.05,6.7435055
0.0504,6.683478745
0.0508,6.622382523
0.0512,6.55967921
0.0516,6.495239756
0.052,6.429723872
0.0524,6.364525287
0.0528,6.300805119
0.0532,6.238117973
0.0536,6.174418144
0.054,6.107513071
0.0544,6.036967183
0.0548,5.964258427
0.0552,5.891607761
0.0556,5.820123436
0.056,5.749315945
0.0564,5.678058606
0.0568,5.605828546
0.0572,5.532713828
0.0576,5.458829498
0.058,5.383833738
0.0584,5.307587713
0.0588,5.23053435
0.0592,5.153765132
0.0596,5.078148906
0.06,5.003541911
0.0604,4.928948775
0.0608,4.85342891
0.0612,4.776743137
0.0616,4.699428072
0.062,4.622309667
0.0624,4.54581638
0.0628,4.469843242
0.0632,4.393714564
0.0636,4.316681831
0.064,4.238295383
0.0644,4.158639296
0.0648,4.078105725
0.0652,3.997151871
0.0656,3.916067423
0.066,3.835039154
0.0664,3.754285511
0.0668,3.673921385
0.0672,3.593883567
0.0676,3.513912523
0.068,3.433745491
0.0684,3.353205591
0.0688,3.272184184
0.0692,3.190549651
0.0696,3.108274672
0.07,3.025793755
0.0704,2.943911588
0.0708,2.863269742
0.0712,2.783750094
0.0716,2.704608098
0.072,2.625180361
0.0724,2.545579442
0.0728,2.466447873
0.0732,2.388210773
0.0736,2.31061043
0.074,2.233087753
0.0744,2.155522852
0.0748,2.078304279
0.0752,2.001829961
0.0756,1.926049578
0.076,1.850638798
0.0764,1.775494013
0.0768,1.700814063
0.0772,1.626767048
0.0776,1.553545944
0.078,1.482363535
0.0784,1.416482948
0.0788,1.360875617
0.0792,1.320364178
0.0796,1.297354258
0.08,1.290480587
0.0804,1.29475869
0.0808,1.303384298
0.0812,1.310743863
0.0816,1.31479327
0.082,1.316779563
0.0824,1.318838945
0.0828,1.321852658
0.0832,1.325217255
0.0836,1.328012325
0.084,1.330079555
0.0844,1.33191413
0.0848,1.333908946
0.0852,1.33594132
0.0856,1.337705289
0.086,1.339227481
0.0864,1.340904883
0.0868,1.343014113
0.0872,1.345368178
0.0876,1.347532931
0.088,1.349295531
0.0884,1.350886017
0.0888,1.35264127
0.0892,1.35459676
0.0896,1.356467464
0.09,1.357972369
0.0904,1.359158277
0.0908,1.360337834
0.0912,1.361768996
0.0916,1.363465406
0.092,1.36526632
0.0924,1.367035426
0.0928,1.368736375
0.0932,1.370328098
0.0936,1.371720887
0.094,1.372866121
0.0944,1.373854942
0.0948,1.374907103
0.0952,1.376196269
0.0956,1.377708438
0.096,1.379285266
0.0964,1.380775897
0.0968,1.382139628
0.0972,1.383411214
0.0976,1.384584589
0.098,1.385612171
0.0984,1.386489751
0.0988,1.387311128
0.0992,1.388238415
0.0996,1.389406069
0.1,1.390822343
0.1004,1.392384621
0.1008,1.393946191
0.1012,1.395386114
0.1016,1.396627507
0.102,1.397671322
0.1024,1.398578104
0.1028,1.399408496
0.1032,1.40022597
0.1036,1.401042391
0.104,1.401882694
0.1044,1.402785271
0.1048,1.403818378
0.1052,1.405012532
0.1056,1.406301526
0.106,1.407530538
0.1064,1.40855267
0.1068,1.409322604
0.1072,1.40991882
0.1076,1.410497796
0.108,1.411170872
0.1084,1.411961507
0.1088,1.412809134
0.1092,1.413634662
0.1096,1.41442832
0.11,1.415255632
0.1104,1.416188947
0.1108,1.417254117
0.1112,1.418355661
0.1116,1.419376983
0.112,1.420231117
0.1124,1.420977049
0.1128,1.421747629
0.1132,1.422649835
0.1136,1.423667508
0.114,1.424681993
0.1144,1.425572718
0.1148,1.426330779
0.1152,1.427044488
0.1156,1.427823481
0.116,1.428687229
0.1164,1.429564163
0.1168,1.43036546
0.1172,1.43107394
0.1176,1.431751762
0.118,1.432483137
0.1184,1.433290441
0.1188,1.434136352
0.1192,1.434959871
