#Data_structure:,,,,,,,,,
Sr,a,b,c,Ox,bg1,P,T,Tig,sigma
RP3_PHI_0.5_P_10,0.002891,0.0012744,0.0016874,0.2088,0.7853,1088,922,6980,697.98
RP3_PHI_0.5_P_10,0.002891,0.0012744,0.0016874,0.2088,0.7853,984,969,3217,321.74
RP3_PHI_0.5_P_10,0.002891,0.0012744,0.0016874,0.2088,0.7853,987,1018,2085,208.52
RP3_PHI_0.5_P_10,0.002891,0.0012744,0.0016874,0.2088,0.7853,1014,1085,872,87.17
RP3_PHI_0.5_P_10,0.002891,0.0012744,0.0016874,0.2088,0.7853,1026,1148,522,52.17
RP3_PHI_0.5_P_10,0.002891,0.0012744,0.0016874,0.2088,0.7853,1078,1237,254,25.36
RP3_PHI_0.5_P_10,0.002891,0.0012744,0.0016874,0.2088,0.7853,1000,1301,169,16.86
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,1424,785,7232,723.2
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,1594,844,6453,645.33
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,1472,882,6758,675.79
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,1495,933,4250,425
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,1344,953,3296,329.64
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,1418,1162,340,34.03
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,1309,966,2996,299.61
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,1435,1000,2272,227.23
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,1501,1066,837,83.75
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,1440,1234,157,15.75
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,1037,773,5704,570.43
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,1117,829,6357,635.75
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,1089,892,4532,453.19
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,1070,952,2480,248.05
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,1049,996,1663,166.25
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,1003,1047,981,98.14
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,982,1102,542,54.24
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,930,1142,398,39.77
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,991,1227,214,21.37
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,1083,796,4919,491.93
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,1045,749,4323,432.33
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,1017,833,5828,582.76
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,1058,884,4972,497.22
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,1125,961,1929,192.95
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,890,963,2359,235.92
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,1055,1035,1159,115.86
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,1034,1110,471,47.12
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,1073,1226,217,21.69
RP3_PHI_1.0_P_20_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,2032,817,10038,1003.78
RP3_PHI_1.0_P_20_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,2087,864,8807,880.67
RP3_PHI_1.0_P_20_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,1977,905,6753,675.26
RP3_PHI_1.0_P_20_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,1790,922,6300,629.96
RP3_PHI_1.0_P_20_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,1989,1157,557,55.74
RP3_PHI_1.0_P_20_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,1974,959,3529,352.89
RP3_PHI_1.0_P_20_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,2154,1045,1537,153.73
RP3_PHI_1.0_P_20_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,2293,1295,154,15.39
