#Data_structure:,,,,,,,,,
Sr,a,b,c,Ox,bg1,P,T,Tig,sigma
RP3_PHI_0.5_P_10,0.002891,0.0012744,0.0016874,0.2088,0.7853,10,922,6980,697.98
RP3_PHI_0.5_P_10,0.002891,0.0012744,0.0016874,0.2088,0.7853,10,1301,169,16.86
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,10,773,5704,570.43
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,10,892,4532,453.19
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,10,952,2480,248.05
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,10,1047,981,98.14
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,10,1142,398,39.77
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,10,1227,214,21.37
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,10,796,4919,491.93
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,10,884,4972,497.22
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,10,1226,217,21.69
RP3_PHI_1.0_P_20_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,20,817,10038,1003.78
RP3_PHI_1.0_P_20_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,20,905,6753,675.26
RP3_PHI_1.0_P_20_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,20,1295,154,15.39
RP3_PHI_1_P_10_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,10,907,11404,1140.41
RP3_PHI_1_5_P_20_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,20,901,11322,1132.19
RP3_PHI_1_5_P_20_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,20,1273,480,47.96
