#Data_structure:,,,,,,,,,
Sr,a,b,c,Ox,bg1,P,T,Tig,sigma
RP3_PHI_0.5_P_10,0.002891,0.0012744,0.0016874,0.2088,0.7853,10,922,6980,697.98
RP3_PHI_0.5_P_10,0.002891,0.0012744,0.0016874,0.2088,0.7853,10,1018,2085,208.52
RP3_PHI_0.5_P_10,0.002891,0.0012744,0.0016874,0.2088,0.7853,10,1148,522,52.17
RP3_PHI_0.5_P_10,0.002891,0.0012744,0.0016874,0.2088,0.7853,10,1237,254,25.36
RP3_PHI_0.5_P_10,0.002891,0.0012744,0.0016874,0.2088,0.7853,10,1301,169,16.86
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,15,785,7232,723.2
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,15,844,6453,645.33
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,15,933,4250,425
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,15,1162,340,34.03
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,15,966,2996,299.61
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,15,1066,837,83.75
RP3_PHI_0.5_P_15,0.002891,0.0012744,0.0016874,0.2088,0.7853,15,1234,157,15.75
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,10,773,5704,570.43
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,10,892,4532,453.19
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,10,952,2480,248.05
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,10,1047,981,98.14
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,10,1142,398,39.77
RP3_PHI_1.0_P_10,0.0058764,0.0025488,0.0033748,0.2075,0.7807,10,1227,214,21.37
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,10,796,4919,491.93
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,10,884,4972,497.22
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,10,961,1929,192.95
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,10,1035,1159,115.86
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,10,1110,471,47.12
RP3_PHI_1.5_P_10,0.0087648,0.0038016,0.0050336,0.2063,0.7761,10,1226,217,21.69
RP3_PHI_1.0_P_20_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,20,817,10038,1003.78
RP3_PHI_1.0_P_20_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,20,905,6753,675.26
RP3_PHI_1.0_P_20_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,20,1157,557,55.74
RP3_PHI_1.0_P_20_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,20,1045,1537,153.73
RP3_PHI_1.0_P_20_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,20,1295,154,15.39
RP3_PHI_1_P_10_D_89_5,0.002891,0.001274,0.001687,0.1044,0.8897,10,907,11404,1140.41
RP3_PHI_1_5_P_20_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,20,901,11322,1132.19
RP3_PHI_1_5_P_20_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,20,1031,3367,336.67
RP3_PHI_1_5_P_20_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,20,1130,1300,129.98
RP3_PHI_1_5_P_20_D_93,0.002891,0.001274,0.001687,0.0696,0.9245,20,1273,480,47.96
