T(k)	f_exp	Value
945.0	10061.99999999999	10128.526781087021
1022.0	5702.999999999995	4891.884376237076
1081.0	3483.9999999999986	3245.534299155582
1108.0	3144.0000000000014	3053.368618371209
1316.0	1208.999999999999	1456.4324680627833
1373.0	1063.9999999999995	1455.1867608719897
1534.0	753.0000000000001	931.1627611375743
1582.0	841.9999999999993	881.0553772178271
1944.0	331.99999999999994	445.10453012118535
1990.0	381.00000000000017	466.68619250931226
2246.0	326.0000000000001	393.27403656300805
