Sr,a,b,Ox,bg1,bg2,bg3,bg4,bg5,T,P,Tig,sigma
TMB_PHI_0_5_P_10,0.00867,0,0.20817844,0.78315,0,0,0,0,1458,10,0.0748,0.0075
TMB_PHI_0_5_P_10,0.00867,0,0.20817844,0.78315,0,0,0,0,1403,10,0.1057,0.0106
TMB_PHI_0_5_P_10,0.00867,0,0.20817844,0.78315,0,0,0,0,1336,10,0.2053,0.0205
TMB_PHI_0_5_P_10,0.00867,0,0.20817844,0.78315,0,0,0,0,1294,10,0.2961,0.0296
TMB_PHI_0_5_P_10,0.00867,0,0.20817844,0.78315,0,0,0,0,1257,10,0.3987,0.0399
TMB_PHI_0_5_P_10,0.00867,0,0.20817844,0.78315,0,0,0,0,1220,10,0.6120,0.0612
TMB_PHI_0_5_P_10,0.00867,0,0.20817844,0.78315,0,0,0,0,1198,10,0.7225,0.0723
TMB_PHI_0_5_P_10,0.00867,0,0.20817844,0.78315,0,0,0,0,1155,10,1.2220,0.1222
TMB_PHI_0_5_P_5,0.00867,0,0.20817844,0.78315,0,0,0,0,1543,5,0.0461,0.0046
TMB_PHI_0_5_P_5,0.00867,0,0.20817844,0.78315,0,0,0,0,1521,5,0.0587,0.0059
TMB_PHI_0_5_P_5,0.00867,0,0.20817844,0.78315,0,0,0,0,1482,5,0.0877,0.0088
TMB_PHI_0_5_P_5,0.00867,0,0.20817844,0.78315,0,0,0,0,1467,5,0.0933,0.0093
TMB_PHI_0_5_P_5,0.00867,0,0.20817844,0.78315,0,0,0,0,1422,5,0.1087,0.0109
TMB_PHI_0_5_P_5,0.00867,0,0.20817844,0.78315,0,0,0,0,1392,5,0.1423,0.0142
TMB_PHI_0_5_P_5,0.00867,0,0.20817844,0.78315,0,0,0,0,1361,5,0.2110,0.0211
TMB_PHI_0_5_P_5,0.00867,0,0.20817844,0.78315,0,0,0,0,1307,5,0.3619,0.0362
TMB_PHI_0_5_P_5,0.00867,0,0.20817844,0.78315,0,0,0,0,1266,5,0.5712,0.0571
TMB_PHI_0_5_P_5,0.00867,0,0.20817844,0.78315,0,0,0,0,1236,5,0.8297,0.0830
TMB_PHI_0_5_P_5,0.00867,0,0.20817844,0.78315,0,0,0,0,1229,5,1.0352,0.1035
TMB_PHI_0_5_P_2,0.00867,0,0.20817844,0.78315,0,0,0,0,1550,2,0.0529,0.0053
TMB_PHI_0_5_P_2,0.00867,0,0.20817844,0.78315,0,0,0,0,1516,2,0.0651,0.0065
TMB_PHI_0_5_P_2,0.00867,0,0.20817844,0.78315,0,0,0,0,1485,2,0.1042,0.0104
TMB_PHI_0_5_P_2,0.00867,0,0.20817844,0.78315,0,0,0,0,1480,2,0.0986,0.0099
TMB_PHI_0_5_P_2,0.00867,0,0.20817844,0.78315,0,0,0,0,1454,2,0.1283,0.0128
TMB_PHI_0_5_P_2,0.00867,0,0.20817844,0.78315,0,0,0,0,1413,2,0.1657,0.0166
TMB_PHI_0_5_P_2,0.00867,0,0.20817844,0.78315,0,0,0,0,1405,2,0.2140,0.0214
