Sr,a,b,Ox,bg1,bg2,bg3,bg4,bg5,T,Ti,P,Pi,RCM,sigma
TMB_100_PHI_0_5_P_10,0.00867,0,0.20817844,0.2741057099,0.50904584,0,0.0000000001,0.00000001,921,363.15,10,0.43029843,165.9,16.59
TMB_100_PHI_0_5_P_10,0.00867,0,0.20817844,0.2741057099,0.50904584,0,0.0000000001,0.00000001,950,363.15,10,0.43029843,62.07,6.207
TMB_100_PHI_0_5_P_10,0.00867,0,0.20817844,0.2741057099,0.50904584,0,0.0000000001,0.00000001,972,378.15,10,0.45003689,29.43,2.943
TMB_100_PHI_0_5_P_10,0.00867,0,0.20817844,0.2741057099,0.50904584,0,0.0000000001,0.00000001,973,393.15,10,0.45003689,30.2,3.02
TMB_100_PHI_0_5_P_10,0.00867,0,0.20817844,0.2741057099,0.50904584,0,0.0000000001,0.00000001,1004,408.15,10,0.45003689,15.26,1.526
TMB_100_PHI_0_5_P_10,0.00867,0,0.20817844,0.2741057099,0.50904584,0,0.0000000001,0.00000001,1039,423.15,10,0.46977535,6.794,0.6794
TMB_75_PHI_0_5_P_10,0.00664,0.00221,0.2081488,0.3914969,0,0.3914969,0.0000000001,0.0000000001,703,368.15,10,0.64017995,95.17,9.517
TMB_75_PHI_0_5_P_10,0.00664,0.00221,0.2081488,0.3914969,0,0.3914969,0.0000000001,0.0000000001,726,383.15,10,0.64017995,75.96,7.596
TMB_75_PHI_0_5_P_10,0.00664,0.00221,0.2081488,0.3914969,0,0.3914969,0.0000000001,0.0000000001,750,398.15,10,0.64017995,72.24,7.224
TMB_75_PHI_0_5_P_10,0.00664,0.00221,0.2081488,0.3914969,0,0.3914969,0.0000000001,0.0000000001,772,413.15,10,0.64017995,67.63,6.763
TMB_75_PHI_0_5_P_10,0.00664,0.00221,0.2081488,0.3914969,0,0.3914969,0.0000000001,0.0000000001,947,428.15,10,0.64017995,24.85,2.485
TMB_75_PHI_0_5_P_10,0.00664,0.00221,0.2081488,0.3914969,0,0.3914969,0.0000000001,0.0000000001,983,363.15,10,0.45793227,14.03,1.403
TMB_75_PHI_0_5_P_10,0.00664,0.00221,0.2081488,0.3914969,0,0.3914969,0.0000000001,0.0000000001,1018,378.15,10,0.45793227,7.166,0.7166
TMB_75_PHI_0_5_P_10,0.00664,0.00221,0.2081488,0.3914969,0,0.3914969,0.0000000001,0.0000000001,951,393.15,10,0.46878842,22.68,2.268
TMB_75_PHI_0_5_P_10,0.00664,0.00221,0.2081488,0.3914969,0,0.3914969,0.0000000001,0.0000000001,983,408.15,10,0.45990612,12.36,1.236
