time(s),volume(cm3)
0,1
0.00074530306,0.88419549
0.0011381826,0.87475786
0.0013206024,0.99723612
0.0014839267,0.86861268
0.0039379323,0.98277767
0.0040669088,0.931575
0.0043897909,0.99856434
0.0045058568,0.89737119
0.0050955036,0.85143064
0.0058484318,0.99732855
0.0060022456,0.87093041
0.0080019417,0.91893364
0.0092775571,0.86337407
0.0099072517,0.90205742
0.016979152,0.96733994
0.017240231,0.91038863
0.017437922,0.99363598
0.018019987,0.98378696
0.018139725,0.85767648
0.018414463,1.0013801
0.018661779,0.87517138
0.018797097,0.99759887
0.01913702,0.98748681
0.019227002,0.90223692
0.02135087,0.87849306
0.021530165,0.83579338
0.021939811,0.88538667
0.023308,0.90316753
0.023414824,1.0022321
0.023678746,1.0300776
0.02398902,0.95620859
0.024115133,0.85236795
0.024472808,1.0015793
0.024701375,0.9396654
0.025120364,0.98136791
0.025483216,0.8564609
0.026536233,0.90156511
0.026605561,0.92384236
0.041842579,0.91325612
0.042322905,0.87426969
0.043668071,0.90330192
0.043799062,1.018287
0.043993415,0.93433591
0.049248089,0.88786153
0.049292703,0.9289111
0.049875295,1.023183
0.050253936,0.9265624
0.050341194,0.99455841
0.051494145,0.94330611
0.051607747,0.87398675
0.052193503,0.87563174
0.052404202,0.96411572
0.052468646,0.91267155
0.055014199,0.92070632
0.055307944,0.84968115
0.057118368,0.94009197
0.057204959,0.96213364
0.05725205,0.90616211
0.061021931,0.8941156
0.061307906,1.0177048
0.06179705,0.87698927
0.063096334,0.9203077
0.06319793,0.84678028
0.064032175,0.95091444
0.065291684,0.96953996
0.065411548,0.88323644
0.066454228,0.87175588
0.066551818,0.97376534
0.068625759,0.86499006
0.068882964,0.85108337
0.069701641,0.86765619
0.069864349,0.98874384
0.070159108,0.94320467
0.070256443,0.88156061
0.07576229,0.87262783
0.075873866,0.94362759
0.078139895,0.8928939
0.081775894,0.91805382
0.082303937,0.85750933
0.083373062,0.87942459
0.083460042,0.97158364
0.083577783,0.99758734
0.083852517,0.85844546
0.086993851,0.84718331
0.087154951,0.7860879
0.08762204,0.9007311
0.087776153,0.85852983
0.092677836,0.6015368
0.095696056,0.43987273
0.097516577,0.32750425
0.098318581,0.27317351
0.098984574,0.23844803
0.10100302,0.1395448
0.10183964,0.13547731
0.10955659,0.14156702
0.14291665,0.14846463
0.21211265,0.155662
0.29410199,0.16159019
0.4683071,0.17019272
0.49995,0.1707903
