"time(s)","volume(cm3)"
0,1
0.00017529643,1.0395016
0.00051214137,0.9606806
0.061972761,0.944209
0.06383974,0.92179509
0.063950709,1.0004807
0.064043966,1.0430837
0.06484161,0.93101449
0.06538815,1.0764284
0.065511301,0.95927404
0.06571109,0.89207276
0.065818313,0.93803046
0.065997878,0.89830951
0.066102181,0.9052671
0.066196177,0.93747142
0.066354953,0.92363016
0.066408631,0.89611388
0.067151265,0.9329936
0.06735532,0.88913805
0.067417381,0.86115004
0.067676627,1.0158605
0.067844321,1.0029168
0.067895956,1.0493918
0.068727235,0.96175399
0.068878297,1.0388427
0.069150606,0.94789381
0.069503929,0.94840164
0.069605102,1.0369942
0.069652302,1.0445485
0.069866539,0.94763723
0.069960619,0.93300947
0.070076219,1.0429304
0.070447208,0.99275231
0.070546695,0.90709577
0.070812596,0.94692815
0.070909954,1.0408771
0.071081118,1.0416581
0.071246737,0.93749866
0.071421288,0.9524786
0.071543963,1.0555494
0.071708886,0.94394387
0.071799685,0.9126009
0.072143099,0.89761918
0.072196356,0.9050125
0.0722961,1.0258553
0.072396439,0.99750329
0.072502957,1.0351439
0.072604272,0.99612488
0.072706973,0.89534087
0.072965432,0.90228707
0.076083563,0.97337142
0.076134233,1.0058907
0.081851423,0.93976944
0.08197461,0.91576206
0.083239051,0.92670003
0.083352207,1.0069787
0.083457198,0.91683204
0.083628318,0.89641938
0.083791851,0.91675707
0.083897415,1.0270679
0.083962047,1.0049405
0.084425407,1.0056832
0.08451544,0.93756175
0.086702735,0.8402947
0.086914959,0.7986945
0.0870798,0.90344462
0.08724503,0.91664336
0.087447294,0.89459674
0.087518809,0.83519142
0.088422642,0.7882505
0.089139164,0.76891772
0.089249945,0.82818318
0.089750026,0.7732685
0.089845725,0.7318924
0.090554502,0.68971872
0.090720697,0.75132003
0.091050159,0.69982027
0.09120329,0.65248709
0.092232523,0.61648107
0.092319429,0.63507509
0.095406657,0.45383726
0.096855809,0.35796399
0.096967382,0.36130672
0.097304607,0.32556928
0.098005703,0.29549167
0.09816081,0.27789214
0.098561913,0.25903765
0.099153807,0.2211209
0.099457055,0.20175475
0.10065733,0.14347535
0.10121383,0.13271083
0.10197958,0.12926809
0.10304518,0.1319582
0.10735155,0.13552831
0.1226281,0.14080765
0.151102,0.14572821
0.19961233,0.15190944
0.28439506,0.15872508
0.42743774,0.16646247
0.49979932,0.16937953
0.49995,0.17082805
