Sr,a,b,Ox,bg1,bg2,bg3,bg4,bg5,T,P,Tig,sigma
TMB_PHI_0_5_P_10,0.00867,0,0.20817844,0.78315,0,0,0,0,1458,10,0.0748,0.0075
TMB_PHI_0_5_P_10,0.00867,0,0.20817844,0.78315,0,0,0,0,1336,10,0.2053,0.0205
TMB_PHI_0_5_P_10,0.00867,0,0.20817844,0.78315,0,0,0,0,1257,10,0.3987,0.0399
TMB_PHI_0_5_P_10,0.00867,0,0.20817844,0.78315,0,0,0,0,1198,10,0.7225,0.0723
TMB_PHI_0_5_P_10,0.00867,0,0.20817844,0.78315,0,0,0,0,1155,10,1.222,0.1222
TMB_PHI_0_5_P_2,0.00867,0,0.20817844,0.78315,0,0,0,0,1550,2,0.0529,0.0053
TMB_PHI_0_5_P_2,0.00867,0,0.20817844,0.78315,0,0,0,0,1485,2,0.1042,0.0104
TMB_PHI_0_5_P_2,0.00867,0,0.20817844,0.78315,0,0,0,0,1413,2,0.1657,0.0166
TMB_PHI_0_5_P_2,0.00867,0,0.20817844,0.78315,0,0,0,0,1375,2,0.2561,0.0256
TMB_PHI_0_5_P_2,0.00867,0,0.20817844,0.78315,0,0,0,0,1298,2,0.5712,0.0571
TMB_PHI_0_5_P_2,0.00867,0,0.20817844,0.78315,0,0,0,0,1238,2,1.1563,0.1156
TMB_PHI_1_P_10,0.0172,0,0.20639583,0.77641,0,0,0,0,1441,10,0.0604,0.006
TMB_PHI_1_P_10,0.0172,0,0.20639583,0.77641,0,0,0,0,1381,10,0.1262,0.0126
TMB_PHI_1_P_10,0.0172,0,0.20639583,0.77641,0,0,0,0,1299,10,0.254,0.0254
TMB_PHI_1_P_10,0.0172,0,0.20639583,0.77641,0,0,0,0,1232,10,0.4242,0.0424
TMB_PHI_1_P_10,0.0172,0,0.20639583,0.77641,0,0,0,0,1144,10,1.5643,0.1564
TMB_PHI_1_P_2,0.0172,0,0.20639583,0.77641,0,0,0,0,1547,2,0.061,0.0061
TMB_PHI_1_P_2,0.0172,0,0.20639583,0.77641,0,0,0,0,1465,2,0.1183,0.0118
TMB_PHI_1_P_2,0.0172,0,0.20639583,0.77641,0,0,0,0,1381,2,0.2788,0.0279
TMB_PHI_1_P_2,0.0172,0,0.20639583,0.77641,0,0,0,0,1305,2,0.6158,0.0616
TMB_PHI_1_P_2,0.0172,0,0.20639583,0.77641,0,0,0,0,1258,2,1.2162,0.1216
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1478,10,0.0498,0.005
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1399,10,0.1148,0.0115
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1311,10,0.2282,0.0228
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1279,10,0.3086,0.0309
TMB_PHI_2_P_10,0.03382,0,0.2029,0.76328,0,0,0,0,1186,10,0.6545,0.0654
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1587,2,0.0503,0.005
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1491,2,0.1187,0.0119
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1444,2,0.1956,0.0196
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1375,2,0.3089,0.0309
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1305,2,0.6698,0.067
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1255,2,1.3746,0.1375
