#Data_structure:,,,,,,,
Sr,a,Ox,bg1,T,P,Tig,sigma
ign_pentanol_phi_1,0.005,0.0375,0.9575,6.74816492976892,1,229.460580912863,22.9460580912863
ign_pentanol_phi_1,0.005,0.0375,0.9575,6.83878568192116,1,320.331950207469,32.0331950207469
ign_pentanol_phi_1,0.005,0.0375,0.9575,7.15595831445401,1,558.091286307054,55.8091286307054
ign_pentanol_phi_1,0.005,0.0375,0.9575,7.20851835070231,1,533.195020746888,53.3195020746888
ign_pentanol_phi_1,0.005,0.0375,0.9575,7.27920253738106,1,600.414937759336,60.0414937759336
ign_pentanol_phi_1,0.005,0.0375,0.9575,7.34082464884459,1,652.697095435685,65.2697095435685
ign_pentanol_phi_1,0.005,0.0375,0.9575,7.80299048482102,1,963.900414937759,96.3900414937759
ign_pentanol_phi_1,0.005,0.0375,0.9575,7.88454916175804,1,1034.85477178423,103.485477178423
ign_pentanol_phi_0_25,0.005,0.15,0.845,8.1833,1,163.485477178423,16.3485477178423
ign_pentanol_phi_0_25,0.005,0.15,0.845,8.1149,1,343.983402489626,34.3983402489626
ign_pentanol_phi_0_25,0.005,0.15,0.845,7.6628,1,559.336099585062,55.9336099585062
ign_pentanol_phi_0_25,0.005,0.15,0.845,7.3768,1,894.190871369295,89.4190871369295
ign_pentanol_phi_0_25,0.005,0.15,0.845,7.0666,1,953.941908713693,95.3941908713693
ign_pentanol_phi_0.5,0.005,0.075,0.92,8.3229,1,1368,136.8
ign_pentanol_phi_0.5,0.005,0.075,0.92,6.83334843679203,1,127.385892116183,12.7385892116183
ign_pentanol_phi_0.5,0.005,0.075,0.92,7.05808790212959,1,300.414937759336,30.0414937759336
ign_pentanol_phi_0.5,0.005,0.075,0.92,7.23932940643407,1,422.406639004149,42.240663900415
ign_pentanol_phi_0.5,0.005,0.075,0.92,7.40788400543725,1,548.132780082988,54.8132780082988
ign_pentanol_phi_0.5,0.005,0.075,0.92,7.44594472134119,1,526.970954356846,52.6970954356846
ign_pentanol_phi_0.5,0.005,0.075,0.92,7.478568192116,1,584.232365145228,58.4232365145228
ign_pentanol_phi_0.5,0.005,0.075,0.92,7.55468962392388,1,631.535269709544,63.1535269709544
ign_pentanol_phi_0.5,0.005,0.075,0.92,7.67974626189397,1,691.286307053942,69.1286307053942
ign_pentanol_phi_0.5,0.005,0.075,0.92,8.00598096964205,1,922.821576763485,92.2821576763485
ign_pentanol_phi_0.5,0.005,0.075,0.92,8.31409152695967,1,1118.25726141079,111.825726141079
