,mass,volume,temperature,AR,HE,N2,H2,H,O,O2,OH,H2O,HO2,H2O2,CO,CO2,C,CH,CH2,CH2(S),CH3,CH4,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,CH3CO,H2CC,OH*,CH*
5.565256955740368e-15,0.21209763872793166,1.0,2245.999999999867,0.9480285908364667,0.0,0.0,8.739388631086697e-05,1.220991752396338e-16,5.005454704808689e-16,0.02831352305792804,7.23794389132449e-24,4.712089134566627e-33,3.989835629421662e-15,3.9841655875887585e-26,0.0235704922192887,1.353991801146363e-15,3.01748911698722e-36,1.582516542248455e-34,8.391436411697352e-42,4.297970896053026e-37,1.9898178041615924e-37,1.438203762337494e-47,1.4672693774973615e-18,4.6008378983316585e-22,4.804341836779577e-37,2.966099542321292e-38,1.6685637360622053e-47,8.328956872931985e-42,4.599315690225605e-50,6.564358480659215e-56,4.3961905281897473e-63,2.843400328688062e-70,3.0177895502526718e-71,3.603700453013323e-39,6.06751366655416e-41,3.953727362989458e-52,3.71406022412684e-61,8.398628171813214e-50,7.201858739175343e-52,2.1363036034228635e-39,4.3661352632275566e-48
5.565813481435942e-11,0.21209763872793166,1.0,2245.999998670733,0.9480285908364667,0.0,0.0,8.739388387087003e-05,1.2210761814930105e-12,5.0065752022820785e-12,0.028313523009319178,7.23841520151513e-16,4.7123918123410084e-21,3.990228137863019e-11,3.983652346834806e-18,0.023570492210656893,1.3541302039395688e-11,3.0159523645632344e-28,1.579870342847421e-26,7.802607971314728e-31,4.287408341298826e-29,1.990300531456357e-29,1.4385524425086466e-35,1.465548068305485e-14,4.600736545836588e-18,4.8031378220448613e-29,2.9560995693489314e-30,1.6669106743748964e-35,8.32058355492442e-34,4.6110603012218927e-38,6.571573282451198e-44,4.383202920072225e-47,3.5144512556402575e-58,3.0181196787199466e-59,3.8218964846149266e-31,6.073740297884177e-33,3.9481011625182695e-40,3.498155607938974e-45,8.15597683677207e-38,7.2012923570282315e-40,2.1294221735929572e-27,4.350033492451415e-36
2.5457274129681234e-10,0.21209763872793166,1.0,2245.999993919987,0.9480285908364667,0.0,0.0,8.739387514975274e-05,5.5847156025820265e-12,2.290467390305232e-11,0.028313522835569666,9.47462828283637e-15,1.5731360887762385e-19,1.8250705832612836e-10,5.2127920912469284e-17,0.023570492179804784,6.193633056667626e-11,3.9441780070186524e-27,2.0659387714633157e-25,2.599239957029453e-29,5.597008496540363e-28,2.6090927190477433e-28,4.808767765914724e-34,6.701183953859522e-14,2.1069410480208665e-17,6.296730499315135e-28,3.854355138744892e-29,5.565681017453227e-34,1.0891784296910118e-32,1.547200608926657e-36,3.401093189571303e-42,5.490861048700895e-45,6.907998621736651e-54,1.196901110279507e-58,5.444234045041853e-30,7.978390584119899e-32,1.3165912874170068e-38,2.9146589134876205e-43,2.6157897505953372e-36,3.7071602800889284e-38,7.078681610286529e-26,1.4465305058657626e-34
4.5348734777926525e-10,0.21209763872793166,1.0,2245.999989169074,0.9480285908364667,0.0,0.0,8.739386642859807e-05,9.947927351626112e-12,4.080981125368901e-11,0.02831352266180593,2.6442888741577737e-14,6.184183393942284e-19,3.251110999845886e-10,1.4545548487575155e-16,0.023570492148952522,1.1033170076350821e-10,1.1001285975370323e-26,5.759218423179906e-25,1.020547419763939e-28,1.5587399622454236e-27,7.286505759826493e-28,1.8912960736823086e-33,1.192291604335866e-13,3.754796204749821e-17,1.758822768911155e-27,1.0725802076173093e-28,2.1878439507182817e-33,3.0384145011069224e-32,6.096603526977317e-36,1.4932750009058392e-41,3.0975722060085093e-44,4.1072299484688828e-53,6.895222539825722e-58,1.6020795458261386e-29,2.2316876417547593e-31,5.171626294384831e-38,1.4928161817087804e-42,1.0068998499273607e-35,1.626191138235362e-37,2.7762277238489493e-25,5.673048150890548e-34
6.524019542617182e-10,0.21209763872793166,1.0,2245.99998441798,0.9480285908364667,0.0,0.0,8.739385770740286e-05,1.4310675825279873e-11,5.872257291614133e-11,0.02831352248802679,5.231250270345409e-14,1.5837089904627866e-18,4.677143450099172e-10,2.8769900130019453e-16,0.02357049211810009,1.5872744154991964e-10,2.1750857503731335e-26,1.1381904168964323e-24,2.6106058018802337e-28,3.0773405622709643e-27,1.4426053575410477e-27,4.8459712920906444e-33,1.7140854635491026e-13,5.406239747684048e-17,3.482754501767845e-27,2.1158497103072215e-28,5.6028781037990574e-33,6.009035058942571e-32,1.5650460699150633e-35,4.031142626054988e-41,1.0326553306373886e-43,1.4950794970950441e-52,2.3965142969883356e-57,3.335178771737752e-29,4.425681040086845e-31,1.3234247839458302e-37,4.7070460121282065e-42,2.5256579722624387e-35,4.380960518742005e-37,7.092555961246423e-25,1.4494630098783288e-33
9.988090268598923e-10,0.21209763872793166,1.0,2245.999976143569,0.9480285908364667,0.0,0.0,8.739384251946037e-05,2.190720115497355e-11,8.993619238745886e-11,0.028313522185354816,1.1930095390552597e-13,5.258822661007326e-18,7.160539865130507e-10,6.55842665719872e-16,0.023570492064370587,2.4300887866682887e-10,4.954350023612424e-26,2.5908308913858526e-24,8.648693560148086e-28,6.990228724771607e-27,3.295367466318461e-27,1.611255134631049e-32,2.6212188970863805e-13,8.289623277822644e-17,7.957932670301469e-27,4.798421305507478e-28,1.860679065149315e-32,1.3697526729426167e-31,5.22606225414043e-35,1.4029540656614794e-40,5.2020125928891595e-43,7.924783597557947e-52,1.6613423513511883e-56,8.361828166313246e-29,1.0145461563036899e-30,4.3876730302342596e-37,2.1843687548361326e-41,8.014735274289792e-35,1.5182219638392002e-36,2.3420312198489665e-24,4.788637437550574e-33
1.593454522490106e-09,0.21209763872793166,1.0,2245.9999619383134,0.9480285908364667,0.0,0.0,8.739381644740363e-05,3.494407167676667e-11,1.4357362522347333e-10,0.02831352166567251,2.99503822909514e-13,2.0777013314840594e-17,1.1423502091791386e-09,1.6452571903356857e-15,0.02357049197213679,3.876898790203806e-10,1.2410210361216321e-25,6.4827613177674266e-24,3.402717041396712e-27,1.742535222827865e-26,8.298650500961066e-27,6.382643512988356e-32,4.1735077298148213e-13,1.3260652689027223e-16,2.004874514256893e-26,1.1925834944901984e-27,7.353504601513228e-32,3.4362454426645942e-31,2.087098682501404e-34,5.7126543906737405e-40,3.3630681400343164e-42,5.1853061241495895e-51,1.6921072980468672e-55,2.4451929274631226e-28,2.5734827973188528e-30,1.728558826522794e-36,1.2828240377435557e-40,2.918356683339251e-34,6.133045410719323e-36,9.154364072840835e-24,1.8739384732478998e-32
2.6288940972449807e-09,0.21209763872793166,1.0,2245.9999371990953,0.9480285908364667,0.0,0.0,8.73937710479565e-05,5.7634568634617676e-11,2.3713958958067884e-10,0.028313520760423497,8.101397778946558e-13,9.292261128122623e-17,1.8846302659495593e-09,4.444374736603857e-15,0.023570491811528864,6.396271337643108e-10,3.343566402261276e-25,1.743290712828568e-23,1.510586139749034e-26,4.655999657339569e-26,2.2571974814985756e-26,2.868358205177859e-31,6.861520921312638e-13,2.19803566102571e-16,5.456845206838448e-26,3.1693431680718192e-27,3.2908505467994157e-31,9.283158089057528e-31,9.515098700909268e-34,2.6041681942535746e-39,2.5413842742060637e-41,3.930089403150399e-50,2.1259579922031818e-54,8.277257514673395e-28,7.109008917993068e-30,7.691364561223206e-36,8.59856562997314e-40,1.141797555458319e-33,2.756802148926361e-35,4.015766875504495e-23,8.238107342521511e-32
4.508493724613533e-09,0.21209763872793166,1.0,2245.9998922778095,0.9480285908364667,0.0,0.0,8.739368863286892e-05,9.879066718928201e-11,4.0753388753451896e-10,0.02831351911604877,2.3758422460793063e-12,4.72054237697413e-16,3.232009715551032e-09,1.3001530136002937e-14,0.023570491519970028,1.0969876861369691e-09,9.733827046503607e-25,5.057588543406323e-23,7.570102250430831e-26,1.336394846263623e-25,6.686824467220407e-26,1.47027375018949e-30,1.1693562410039989e-12,3.8015658538654675e-16,1.6185189682873233e-25,9.005121886991466e-27,1.6742840489521563e-30,2.716143791829797e-30,5.0029678451746376e-33,1.345242351941686e-38,2.25266018647877e-40,3.518038357705625e-49,3.306559223594501e-53,3.317230933903114e-27,2.1846305112045463e-29,3.8705739196859604e-35,6.451006169438454e-39,4.6970513581454086e-33,1.3883084944783958e-34,1.9689582217661562e-22,4.053835120172502e-31
8.9256702686809e-09,0.21209763872793166,1.0,2245.999786644176,0.9480285908364667,0.0,0.0,8.739349493703188e-05,1.953418858624133e-10,8.107428383869058e-10,0.028313515246061405,9.292062806838515e-12,3.818809610982267e-15,6.398144670124516e-09,5.053470500507144e-14,0.02357049083472292,2.17195359565563e-09,3.737959610691061e-24,1.925612399917536e-22,5.9121893058440085e-25,4.985382892496041e-25,2.680534419790641e-25,1.2174419333827473e-29,2.2816159921011213e-12,7.673275389633771e-16,6.50910186009297e-25,3.2730489658537885e-26,1.3625454912878525e-29,1.0561173936959606e-29,4.3968058556104206e-32,1.122456213885202e-37,3.815337594597991e-39,6.144119949746967e-48,1.2096802558840408e-51,2.144225018311796e-26,9.986007635902406e-29,3.055343437739917e-34,8.093995399755063e-38,2.5529698303113696e-32,1.0892045605254575e-33,1.45651758583956e-21,3.018847428171491e-30
