,mass,volume,temperature,AR,HE,N2,H2,H,O,O2,OH,H2O,HO2,H2O2,CO,CO2,C,CH,CH2,CH2(S),CH3,CH4,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,CH3CO,H2CC,OH*,CH*
1.1593342262451398e-12,6.558418372427716,1.0,1165.0000000000002,0.9741838071486243,0.0,0.0,4.482177061310434e-05,9.151624492611124e-20,3.8600107254245133e-17,0.014066559613861336,2.7149183310729773e-24,1.060485657507872e-30,2.99656634384383e-18,2.4418272933562496e-28,0.011704811466901296,1.0617865112928768e-16,3.593438563473586e-46,1.1001121542384332e-41,7.175233186521426e-44,5.044432592958617e-41,6.109489480486395e-43,2.0698416876125714e-51,2.798892842605743e-23,2.6712949147914453e-24,7.151608147750495e-43,4.9062239961585623e-45,4.353259443142556e-52,7.453374881150411e-56,9.253408566188543e-59,3.247744625346956e-66,4.565847603064399e-70,1.5214890119247784e-74,9.986591872393407e-73,5.431403973441776e-46,1.0614898606986277e-48,2.14552337590398e-55,1.5476889706911734e-60,2.1161436140754205e-50,4.2970415380806196e-64,2.556150287183735e-41,6.068415468227725e-58
1.1594501596677643e-08,6.558418372427716,1.0,1165.0000000012014,0.9741838071486243,0.0,0.0,4.4821770611249945e-05,9.156316251051963e-16,3.858354404901935e-13,0.014066559613059927,2.6889144946222736e-16,1.0503281897011967e-18,3.020668519685064e-14,2.4609299030318613e-20,0.011704811466225363,1.062106077143177e-12,1.3398720805810834e-38,2.3030536627046526e-32,5.282426699008607e-33,3.843186462665801e-34,9.10113606239239e-34,3.083385425808098e-38,9.80286343551106e-18,2.7228210522118154e-20,1.6585926890659619e-34,1.1923267004011689e-34,1.1318299031735905e-38,2.5420099549479736e-46,5.534261126877477e-44,2.80945469975625e-54,8.452142105190787e-54,2.2168378707182767e-61,1.487665360085476e-59,8.80861128509517e-33,2.211273993065687e-34,3.170407976322291e-42,1.705689865049344e-44,2.3252364738363274e-38,7.960316832312803e-52,2.5885864043244786e-30,2.4382619211191305e-45
7.115274160946477e-08,6.558418372427716,1.0,1165.0000000075381,0.9741838071486243,0.0,0.0,4.482177060129138e-05,5.6379376337403894e-15,2.3642011658844457e-12,0.014066559608936461,6.230483335761843e-15,8.620010960884553e-17,1.8961784973258173e-13,5.954979083443394e-19,0.011704811462750236,6.521963011927365e-12,1.1695093741907942e-37,6.311665596081144e-31,1.6047995098243915e-31,3.722149753078396e-33,7.986808643902458e-32,9.350815455728718e-36,1.5032734672168003e-16,1.6610662943613647e-19,1.0787363894174126e-32,1.1381962938615461e-32,3.636229901719475e-36,9.503082238896518e-45,5.96057217786909e-42,3.375291298275176e-50,4.341678586181762e-48,6.613444836141631e-60,2.162236800116475e-59,7.831447234827593e-31,2.3906199326334722e-32,9.430111427058807e-40,5.501907215991981e-42,2.1542591226604137e-36,1.1934801624391521e-46,1.052421947770166e-28,7.775528302397751e-44
1.307109816222519e-07,6.558418372427716,1.0,1165.0000000140994,0.9741838071486243,0.0,0.0,4.4821770590751314e-05,1.0392872445401675e-14,4.337812142946365e-12,0.01406655960480439,1.8106814281157357e-14,3.568156505449183e-16,3.5475080512396347e-13,1.7745200051115486e-18,0.011704811459271484,1.1987456216269734e-11,2.271708037170215e-37,1.702255559290468e-30,4.869710579796359e-31,8.876412312175293e-33,3.13317780628048e-31,4.881208523869832e-35,3.5600601947425134e-16,3.1431661297584236e-19,3.535075785190073e-32,3.9161405013928387e-32,1.7216745295241023e-35,2.794277691707584e-44,2.5632296500738587e-41,1.7168860175430364e-49,3.5373845001187883e-47,2.8783444749445883e-58,4.533166209279919e-57,2.980720614638989e-30,1.0287397793508685e-31,4.8888940966387446e-39,2.896864341582322e-41,8.510424892961759e-36,8.13401545276926e-46,3.597987381960061e-28,2.1521853970656736e-43
1.9026922163503903e-07,6.558418372427716,1.0,1165.0000000209075,0.9741838071486243,0.0,0.0,4.482177057956818e-05,1.519917907270264e-14,6.3063015766750484e-12,0.014066559600662897,3.6146557834981416e-14,9.305881232176405e-16,5.26158487782574e-13,3.6332382820773026e-18,0.011704811455788522,1.7459538473971042e-11,3.3681688386935314e-37,3.0396308692292915e-30,9.614381045133151e-31,1.547302479439629e-32,7.600817856576669e-31,1.5015902209934097e-34,5.93341444918619e-16,4.602123915615372e-19,8.364003845623982e-32,9.529418385722215e-32,5.180499198409747e-35,5.277605588597276e-44,6.728956859893133e-41,6.046844337236158e-49,1.3208631129668612e-46,2.6592071320821816e-57,9.501652339456215e-57,6.971024733113627e-30,2.7014664608038905e-31,1.4931366653106042e-38,8.976730915968032e-41,2.0729064137488438e-35,2.374456981298528e-45,7.695885920182382e-28,3.893213488161903e-43
2.849900411135398e-07,6.558418372427716,1.0,1165.000000032269,0.9741838071486243,0.0,0.0,4.482177056038304e-05,2.2987627117009775e-14,9.426203308501236e-12,0.014066559594055901,7.713524764383225e-14,2.828463626445211e-15,8.123731511783544e-13,8.108349276641122e-18,0.011704811450239536,2.6177544807239205e-11,5.100750367576113e-37,5.339780923100199e-30,1.8843869190838257e-30,2.7617418012472756e-32,1.993443499568113e-30,5.620614246737613e-34,9.906722456460538e-16,6.90537642733778e-19,2.0026141896215116e-31,2.356707320220819e-31,1.8489349173625811e-34,9.730287561019653e-44,1.9618190101336157e-40,2.5711559831640002e-48,5.752715252744305e-46,2.6870825125043716e-56,2.151812415015134e-56,1.6971247894901104e-29,7.874105559326667e-31,5.500348385726882e-38,3.3996340376163414e-40,5.456769215097587e-35,6.952336416618482e-45,1.7468432434202898e-27,6.902108056902251e-43
3.797108605920406e-07,6.558418372427716,1.0,1165.0000000442963,0.9741838071486243,0.0,0.0,4.4821770539442165e-05,3.098448514154123e-14,1.2532995908987494e-11,0.014066559587423305,1.3248909190463178e-13,6.279949976568112e-15,1.1156771292647127e-12,1.4534772443791207e-17,0.011704811444677757,3.49155874627224e-11,6.826772660478761e-37,7.743583170602093e-30,2.9186374966824904e-30,4.085855804233922e-32,3.897996784303524e-30,1.4186793145149583e-33,1.4025086659776129e-15,9.199024203591554e-19,3.7345086788172438e-31,4.468346482709645e-31,4.528745199728031e-34,1.4463795952959289e-43,4.11268516538146e-40,7.900887675639348e-48,1.5124138819247505e-45,1.3220324642912765e-55,3.804863524680714e-56,3.0899610552294853e-29,1.6493074164966477e-30,1.3687973895424832e-37,8.656403506760432e-40,1.0690995930923626e-34,1.364545898083998e-44,3.1387450443474124e-27,1.0051169791391905e-42
5.418453830491133e-07,6.558418372427716,1.0,1165.0000000664822,0.9741838071486243,0.0,0.0,4.4821770499396514e-05,4.525069039873694e-14,1.782101800159577e-11,0.014066559576008414,2.579087782271552e-13,1.704778603473284e-14,1.6760956590716066e-12,3.0402392800811164e-17,0.01170481143512505,4.9923631286502525e-11,9.769472403702136e-37,1.199763726019253e-29,4.788606983495628e-30,6.468178458409751e-32,8.792667498058498e-30,4.4713239819113496e-33,2.133144565483861e-15,1.3254321120572023e-18,8.061678542458528e-31,9.787262758979526e-31,1.3813584466410016e-33,2.2842487142814896e-43,1.0018589486573312e-39,3.552618260433986e-47,4.9146414064251065e-45,9.308878027243498e-55,1.1229017465398515e-55,6.185190698206685e-29,4.0067453008728106e-30,4.208116942095474e-37,2.765326141987612e-39,2.4157793629443573e-34,3.143186167982067e-44,6.541011113860026e-27,1.562187981974168e-42
7.03979905506186e-07,6.558418372427716,1.0,1165.0000000907557,0.9741838071486243,0.0,0.0,4.482177045388815e-05,6.035695403116425e-14,2.3072131253162168e-11,0.014066559564511999,4.187439842539962e-13,3.5510934435159354e-14,2.290924473382395e-12,5.287853584358683e-17,0.011704811425527399,6.500212983815364e-11,1.2698416658175954e-36,1.6462587244299511e-29,6.731870052975947e-30,8.93191048738959e-32,1.5838883895655546e-29,1.0305732184505257e-32,2.9024143850493367e-15,1.737685570768078e-18,1.4665248719513948e-30,1.78988045669824e-30,3.1614579581739766e-33,3.160602873844654e-43,1.8933271839156068e-39,1.0257394304422933e-46,1.1602260215359466e-44,3.3932808617031367e-54,3.5502718946757796e-55,9.969873000428198e-29,7.543079936981485e-30,9.477038044811586e-37,6.447846907875919e-39,4.35570745985021e-34,5.851165890140429e-44,1.1295919667664717e-26,2.146565648795159e-42
8.661144279632588e-07,6.558418372427716,1.0,1165.0000001172098,0.9741838071486243,0.0,0.0,4.4821770402745935e-05,7.639286748659601e-14,2.8287535131767243e-11,0.014066559552929124,6.11184693017581e-13,6.351393068894565e-14,2.9634119222755046e-12,8.258035830079309e-17,0.01170481141588065,8.015772167514503e-11,1.5615944423842465e-36,2.1193694635283408e-29,8.763405194084697e-30,1.1509228091257845e-31,2.5158812290394693e-29,1.9965566626858646e-32,3.7181237914109194e-15,2.170338495442681e-18,2.318926776660123e-30,2.8436367283684814e-30,6.1160551000586095e-33,4.0883361917012365e-43,3.1094232949396916e-39,2.445070637865152e-46,2.313051381891535e-44,9.778544865613442e-54,9.915186351034303e-55,1.426472052708016e-28,1.2328527636510485e-29,1.7944536006216626e-36,1.2629545333928592e-38,6.92253530569552e-34,9.73866503232816e-44,1.7561420287889586e-26,2.7657022006464868e-42
1.1474943561598532e-06,6.558418372427716,1.0,1165.0000001685564,0.9741838071486243,0.0,0.0,4.482177030018239e-05,1.0654661320483229e-13,3.725787274524107e-11,0.014066559532605757,1.010852320703462e-12,1.395439368760265e-13,4.2782276256253315e-12,1.5331869600424787e-16,0.011704811399011519,1.0666011255624028e-10,2.0657513325893293e-36,3.010174746435523e-29,1.2590909143130018e-29,1.6377376848531843e-31,4.716352649015649e-29,4.927749949501566e-32,5.253361783840121e-15,2.9949346018355336e-18,4.582000461553545e-30,5.622558199929314e-30,1.5441455066197218e-32,5.837497539904309e-43,6.074896985530495e-39,7.980464768032384e-46,6.059737359365285e-44,4.386059316992893e-53,4.51700625155291e-54,2.2715406532174606e-28,2.3834706996754184e-29,4.248923836798624e-36,3.1779806054225883e-38,1.2984663814167554e-33,1.976248399745417e-43,3.2315769976662766e-26,3.93153515932494e-42
1.4288742843564479e-06,6.558418372427716,1.0,1165.0000002271547,0.9741838071486243,0.0,0.0,4.482177017949051e-05,1.3975067036001073e-13,4.613140720175898e-11,0.01406655951197656,1.481803025413051e-12,2.568238170122195e-13,5.797034575203024e-12,2.5162649876448984e-16,0.011704811381965021,1.3344087458780135e-10,2.567943309122365e-36,3.9935029153426725e-29,1.6809265079108125e-29,2.1703012076021565e-31,7.723337751989965e-29,9.99889272927566e-32,6.946822946661291e-15,3.8730913515722424e-18,7.93177136234156e-30,9.727986601712911e-30,3.241477014217945e-32,7.77237447509419e-43,1.0259607693226388e-38,1.9788629518791505e-45,1.3007128091929275e-43,1.429069532346259e-52,1.4718329036630732e-53,3.223417661301894e-28,3.9768189557093515e-29,8.284078465084861e-36,6.566501114725087e-38,2.127048706534978e-33,3.4592059863172644e-43,5.242481528555948e-26,5.2186102665990345e-42
