,mass,volume,temperature,AR,HE,N2,H2,H,O,O2,OH,H2O,HO2,H2O2,CO,CO2,C,CH,CH2,CH2(S),CH3,CH4,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,CH3CO,H2CC,OH*,CH*
2.4778428691939346e-13,0.3193304196056018,1.0,1396.9999999999948,0.9519877196376126,0.0,0.0,0.001560569412011017,9.79938142766225e-18,4.012251103897717e-17,0.024769394863853354,6.3488404221038665e-24,1.5125579394510894e-30,3.208512868764941e-16,6.167459500956385e-26,0.021682316086522317,1.1036624481520504e-16,1.607026168668788e-44,1.5012681511633232e-39,7.861793021975558e-45,1.8785351594759995e-40,1.8257945169977896e-40,6.910396145505358e-49,9.313465506031996e-21,1.2594815048035585e-23,2.8751485881557832e-40,3.966932642293097e-42,2.776653276716764e-49,1.815427836145756e-51,6.077775875776479e-57,4.8187309252573954e-63,4.2545068235569293e-67,3.117270540051943e-73,2.0125734976598366e-72,6.39911315418908e-45,5.344671160200085e-47,9.084551220250593e-55,4.5812779373262675e-61,3.6766544158778955e-51,1.2015085681856018e-59,1.7066525732109085e-42,3.245122616193328e-55
2.4780906534808536e-09,0.3193304196056018,1.0,1396.9999999469158,0.9519877196376126,-2.1646382857888314e-33,0.0,0.0015605694118150043,9.79932119299802e-14,4.0142439252603677e-13,0.024769394859939606,6.334804358511843e-16,1.509213966220736e-18,3.2088426405585457e-12,6.167700700861928e-18,0.021682316085819785,1.1037779181726582e-12,1.5573259531484005e-36,1.448742506736637e-31,7.120867317357177e-33,1.55405886769188e-32,1.9238813834856989e-32,7.281642347555386e-37,9.36882434726542e-17,1.2608354661548697e-19,2.88872499541137e-32,4.600667022227824e-34,2.8473473084908575e-37,1.7985896125566025e-43,3.7944335053432765e-44,4.86719008340381e-51,4.2504029759458316e-51,1.9356379768590024e-63,1.617551053187633e-64,5.903268353912597e-35,6.319573588281378e-37,9.548142216934694e-43,3.3601391253540785e-45,2.6922798541612032e-39,1.2002107397540125e-47,1.368781206305251e-30,2.74918555012435e-43
1.4019184192172407e-08,0.3193304196056018,1.0,1396.999999699634,0.9519877196376126,-5.5253965814172674e-33,0.0,0.0015605694109016189,5.542267853799269e-13,2.2732554661758143e-12,0.024769394841699283,1.2679746497738845e-14,9.765395924108005e-17,1.815337921949879e-11,1.2407224132258337e-16,0.021682316082547528,6.244434701627903e-12,2.9297199673452615e-35,2.705012638767047e-30,3.934709430075338e-31,2.261632446828791e-31,4.160055345214968e-31,5.075005314363863e-35,5.377321791362652e-16,7.150946480775915e-19,6.034837903158998e-31,1.445966673166278e-32,2.0607041971573607e-35,3.539627433280573e-42,5.940971555292377e-42,5.077549133366627e-49,1.3584292812053714e-48,8.015545983963944e-61,-1.1440044179771035e-59,3.536322604047773e-33,1.0928200902143964e-34,6.618441355067332e-41,4.479684054177382e-43,1.1297949833304702e-37,1.2251639662884456e-45,9.355162322101968e-29,1.3169485473912105e-41
2.556027773086396e-08,0.3193304196056018,1.0,1396.9999994522802,0.9519877196376126,-6.645649346626746e-33,0.0,0.0015605694099876716,1.010271995315262e-12,4.148140861771804e-12,0.02476939482344405,3.6767174507535324e-14,4.016965430754429e-16,3.309810813424289e-11,3.60857306359282e-16,0.021682316079275184,1.1385218193752574e-11,8.188696092401464e-35,7.530951297855173e-30,1.5197997033514247e-30,5.530852444962789e-31,1.2489033144881359e-30,2.142023239300399e-34,9.918543470406407e-16,1.3065576162059376e-18,1.805168478761494e-30,5.255066761073251e-32,8.955114350577513e-35,1.0154462200196454e-41,3.011464799006323e-41,2.3515542957795057e-48,8.009750614137463e-48,6.687700116466902e-55,4.414968599503914e-54,1.4093361249063286e-32,5.613815950699106e-34,2.7866895756419336e-40,2.130641061432673e-42,3.9380992526689616e-37,5.635576562162472e-45,3.7173810295624347e-28,4.749888686347051e-41
3.7101371269555515e-08,0.3193304196056018,1.0,1396.9999992048497,0.9519877196376126,-7.019066935029905e-33,0.0,0.0015605694090731015,1.4661207727239215e-12,6.026325332422442e-12,0.02476939480517267,7.378488599537074e-14,1.0488861594339178e-15,4.8043044580705815e-11,7.26399846443374e-16,0.02168231607600273,1.6526157642797018e-11,1.5841073697770163e-34,1.4518122660650278e-29,3.744410294540246e-30,9.529830010831678e-31,2.5801729310246497e-30,5.719232035923451e-34,1.4566241528711784e-15,1.9007302438925677e-18,3.733400470619287e-30,1.2633810783939432e-31,2.4624352818618254e-34,2.0150294783984322e-41,9.237395145113293e-41,6.561122104874893e-48,2.7395357705701263e-47,1.1948581377078794e-54,8.017332993993663e-54,3.568837551472477e-32,1.73702534627069e-33,7.422350368022345e-40,6.162029293873454e-42,8.889348793160985e-37,1.560361321700503e-44,8.960863724218283e-28,1.0921380985397877e-40
5.703006679646765e-08,0.3193304196056018,1.0,1396.999998777413,0.9519877196376126,-7.390206570892069e-33,0.0,0.0015605694074922855,2.2528172435260848e-12,9.277476226141967e-12,0.024769394773583166,1.686478860822145e-13,3.5039593430936592e-15,7.384986248170193e-11,1.670443851607477e-15,0.02168231607035167,2.5403783605106254e-11,3.3791156402366055e-34,3.0818151703500444e-29,1.120531122316107e-29,1.734546751326951e-30,6.166123067921413e-30,1.9885354382758757e-33,2.2839263104464447e-15,2.9335332313171593e-18,9.010337283122031e-30,3.7567677480879723e-31,9.108391203210338e-34,4.500077276021839e-41,3.9756920676663e-40,2.3633115678235325e-47,1.4061687292231652e-46,2.4749968506531096e-54,1.699293234241501e-53,1.118290772289091e-31,7.562671180027654e-33,2.5663416009302992e-39,2.370697545250305e-41,2.3216386538258164e-36,5.511074240057087e-44,2.4548982231117325e-27,2.842097347994932e-40
9.33034737165871e-08,0.3193304196056018,1.0,1396.9999979988315,0.9519877196376126,-7.80006609774153e-33,0.0,0.0015605694046095136,3.683440221812043e-12,1.5220925017843576e-11,0.024769394715957314,4.3989734647912684e-13,1.483518566652685e-14,1.2082403271760695e-10,4.409163382049417e-15,0.02168231606006456,4.156437251425726e-11,7.79415346256614e-34,7.080859302259733e-29,3.962564326827567e-29,3.3986695400973566e-30,1.7182426643643733e-29,8.965783490174715e-33,3.865232926943248e-15,4.836681876751679e-18,2.57858638489605e-29,1.369502001440479e-30,4.558981252632276e-33,1.1200090740812756e-40,2.2974605580244106e-39,1.0914354827650997e-46,1.03146167586494e-45,2.9990937033832436e-54,2.1881483113911543e-53,4.210847282686982e-31,4.419827940740523e-32,1.1437025526312101e-38,1.1780792110898337e-40,6.960051534005665e-36,2.4392373449013024e-43,7.453821636652315e-27,7.901438863632804e-40
1.2957688063670655e-07,0.3193304196056018,1.0,1396.999997219526,0.9519877196376126,-7.936685940024683e-33,0.0,0.001560569401719365,5.112592058115389e-12,2.1197493343970103e-11,0.02476939465816641,8.355515530346774e-13,3.803964237884838e-14,1.678003228401305e-10,8.464700329923386e-15,0.021682316049775507,5.772788205454307e-11,1.3329095305398559e-33,1.2111688944648208e-28,8.968432716485577e-29,5.388257441496597e-30,3.4330546434704445e-29,2.3972588072333478e-32,5.537886437683302e-15,6.771114689741342e-18,5.274521095707209e-29,3.206002879363772e-30,1.301087183907751e-32,2.037463328275771e-40,6.920873511271909e-39,2.9584814423759534e-46,3.548980044611608e-45,1.004823692599905e-53,7.175342963035221e-53,9.910951929120044e-31,1.3378575135037175e-31,3.03072005472963e-38,3.290108483160333e-40,1.4376378134366442e-35,6.416479741891601e-43,1.5254205927814772e-26,1.4904312378621446e-39
1.6585028755682601e-07,0.3193304196056018,1.0,1396.999996439527,0.9519877196376126,-7.9822258874524e-33,0.0,0.0015605693988213446,6.5405348792358305e-12,2.7206889736561163e-11,0.024769394600210444,1.3518191267368762e-12,7.720556300112424e-14,2.14778733970085e-10,1.3837143281689616e-14,0.0216823160394841,7.389496027898961e-11,1.9598415680675034e-33,1.7866604058655485e-28,1.6381308491774264e-28,7.730752762795162e-30,5.807627566936662e-29,5.042713951839088e-32,7.29400373883689e-15,8.738449433869485e-18,9.109462986749673e-29,6.059025987582996e-30,2.880199399762768e-32,3.1608389567586028e-40,1.573336648731191e-38,6.2950807374529146e-46,8.984390804486664e-45,1.9202516953270577e-53,1.385046506888666e-52,1.866274007754695e-30,3.0507679026928886e-31,6.321890932934717e-38,7.1152804618337155e-40,2.478545762156613e-35,1.3278030668610097e-42,2.5871917394327354e-26,2.329893652467531e-39
2.2857270347457557e-07,0.3193304196056018,1.0,1396.9999950892438,0.9519877196376126,-7.994604406804186e-33,0.0,0.001560569393790158,9.007611806954e-12,3.767461781667439e-11,0.02476939449960622,2.5175020136669576e-12,1.9490496362202188e-13,2.9601678871045515e-10,2.6231752459075978e-14,0.02168231602168187,1.018607472562868e-10,3.144476573870919e-33,2.898224419790948e-28,3.5231815154776367e-28,1.2686672621813435e-29,1.1614884575760946e-28,1.3486086450985881e-31,1.0505347245727765e-14,1.2222397032549742e-17,1.8761525168827845e-28,1.3803678342363496e-29,8.261597986254641e-32,5.485390114364081e-40,4.581056078264938e-38,1.7129937207950036e-45,3.085997293897201e-44,2.7247953873491364e-53,1.9536300853866042e-52,4.190707152825371e-30,8.914932456074032e-31,1.6660170402096897e-37,1.9661750104459906e-39,5.050729044965745e-35,3.44034717029178e-42,5.091687660091315e-26,3.997485987490166e-39
