,mass,volume,temperature,AR,HE,N2,H2,H,O,O2,OH,H2O,HO2,H2O2,CO,CO2,C,CH,CH2,CH2(S),CH3,CH4,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,CH3CO,H2CC,OH*,CH*
6.30387861578396e-13,0.3193304196056018,1.0,1396.999999999996,0.9519877196376126,0.0,0.0,0.001560569412011023,6.687974530038335e-18,1.0207554995269499e-16,0.02476939486385333,2.2003832519422615e-23,1.333674857649563e-29,2.1891894926477043e-16,6.017847048637407e-26,0.021682316086522206,2.807826998141924e-16,1.3575956804587509e-42,7.119750785773996e-38,8.103449362947858e-43,5.542995224429411e-39,9.723736147529286e-40,5.263074112347871e-48,4.2317459597049376e-20,5.522599331850298e-23,1.8028810506387202e-39,2.4874856145081306e-41,2.4899095372652083e-48,1.804525562320754e-49,1.016765564734537e-54,5.817135924545736e-61,7.344577890283405e-65,4.577524041517806e-72,2.9553456928757807e-71,7.78230100455646e-44,1.2442641775931686e-45,4.444049093470818e-53,3.204705485048522e-59,1.798452248307918e-49,1.7079139512865682e-57,8.669950616428505e-42,3.9154135032379827e-53
5.980074163446917e-09,0.3193304196056018,1.0,1396.9999999606357,0.9519877196376126,0.0,0.0,0.0015605694118839932,6.348718845221101e-14,9.676438392142685e-13,0.024769394859902576,1.9680347116561706e-15,1.1314551203390059e-17,2.076757756081235e-12,5.414144029717531e-18,0.02168231608482671,2.663610893739606e-12,1.1325726149926284e-34,5.796643714616447e-30,5.7059867863700185e-31,3.3351305755846375e-31,1.4272109076308906e-31,7.32735827678494e-36,4.0037916218092284e-16,5.247017292483024e-19,1.6218804146794366e-31,2.5077022567544562e-33,2.1589392547157777e-36,1.560254967854261e-41,1.3722077944505963e-41,4.931747620373548e-49,5.741329998260082e-49,2.1897697928325318e-61,2.6272879332976917e-61,5.6836019829270075e-33,1.2046681138153505e-34,6.149204717689678e-41,2.063102576705037e-43,1.215878329907944e-37,1.4069819505403227e-45,4.629918861700795e-30,2.263772659530607e-41
2.2158760878990177e-08,0.3193304196056018,1.0,1396.9999998541064,0.9519877196376126,0.0,0.0,0.0015605694115394875,2.35461444514014e-13,3.5822331165555744e-12,0.02476939484920705,1.6793633430575137e-14,1.956760261420097e-16,7.69537343145764e-12,4.6477895050592875e-17,0.021682316080239152,9.869896981161182e-12,9.036967377296449e-34,4.524048158791021e-29,8.663452587762335e-30,2.1324936257662812e-30,1.5246618314872962e-30,1.5513248031051313e-34,1.4785781065623317e-15,1.9481774860305005e-18,1.4315025674230704e-30,2.7035860052363135e-32,3.960122462890261e-35,1.2848165245272807e-40,3.913514996675802e-40,1.3032164473644789e-47,2.78517580015354e-47,3.225405516664303e-59,1.0966581376054385e-59,9.041274445846867e-32,3.5274294399946685e-33,1.294799360893194e-39,5.728317107053074e-42,1.7369775076767683e-36,3.633879909863212e-44,8.448299683438103e-29,2.9194259790223274e-40
3.833744759453343e-08,0.3193304196056018,1.0,1396.9999997475368,0.9519877196376126,0.0,0.0,0.0015605694111939078,4.077258587981583e-13,6.192430211491136e-12,0.024769394838503638,4.415027806434969e-14,7.149862083803842e-16,1.3314106370057454e-11,1.2275191397611697e-16,0.02168231607565153,1.7076287620266904e-11,2.2591499972007645e-33,1.112722747948091e-28,2.933639806772984e-29,4.637081412536053e-30,4.498511560862872e-30,6.21000947799396e-34,2.5503288040146977e-15,3.3666468683349703e-18,3.867811938843831e-30,8.318576768226664e-32,1.5030945009854927e-34,3.2848590504292787e-40,1.7436052005621926e-39,5.395335208584782e-47,1.4458762410349077e-46,2.4067341073274953e-58,3.395896425190572e-58,3.138318554416333e-31,1.583364385219002e-32,5.166177777379967e-39,2.503761740325156e-41,5.67220040349569e-36,1.4615277707045368e-43,2.889659372979241e-28,8.898347471229399e-40
5.451613431007669e-08,0.3193304196056018,1.0,1396.999999640927,0.9519877196376126,0.0,0.0,0.0015605694108471418,5.803162497917777e-13,8.79788962093608e-12,0.02476939482779168,8.490236779632857e-14,1.7685617229747382e-15,1.893296666510977e-11,2.3715811769456765e-16,0.02168231607106382,2.4282825904658825e-11,4.132812487033725e-33,2.003833778523739e-28,6.763841966118792e-29,7.606376538692157e-30,9.464784746250294e-30,1.652809337851351e-33,3.615378209361246e-15,4.794167555976004e-18,7.633551373693084e-30,1.818584090940882e-31,3.8512576365740483e-34,6.1377442362629115e-40,5.0078019052961675e-39,1.4132929928937164e-46,4.600652865036045e-46,1.1464237460744875e-57,7.386212791618085e-58,7.388275815139212e-31,4.5695817973907055e-32,1.370547195871205e-38,7.065358041903543e-41,1.2688697421281106e-35,3.753278452696218e-43,6.447541559642409e-28,1.8526530663726427e-39
8.224659395314881e-08,0.3193304196056018,1.0,1396.999999458109,0.9519877196376126,0.0,0.0,0.0015605694102498616,8.769570513458579e-13,1.3252389249701605e-11,0.02476939480941066,1.8617024612880422e-13,5.570710296542128e-15,2.856406636258883e-11,5.247646329095384e-16,0.021682316063200154,3.663538260521448e-11,8.275440361485974e-33,3.9073293518231242e-28,1.8655290213266472e-28,1.3510088559998506e-29,2.361195785365051e-29,5.8748570538558026e-33,5.425948922771967e-15,7.255853962891913e-18,1.754103675689943e-29,4.83511311646179e-31,1.2992416067387868e-33,1.2723511842268238e-39,1.9712869566560215e-38,4.696135144766319e-46,2.10642459675127e-45,9.685577833637644e-57,2.7107849619717213e-57,2.106978159465545e-30,1.8100128578616702e-31,4.835810304388188e-38,2.7074008599970807e-40,3.371461368292997e-35,1.1923361871622289e-42,1.6266320223089786e-27,4.234520513712546e-39
1.3093519011548913e-07,0.3193304196056018,1.0,1396.999999136897,0.9519877196376126,0.0,0.0,0.0015605694091918932,1.4004663546757892e-12,2.1039290647061727e-11,0.024769394777074148,4.570478076470999e-13,2.1546144162345085e-14,4.547511036296686e-11,1.310261039112583e-15,0.021682316049392095,5.832568337559905e-11,1.745805348912216e-32,7.925235491317137e-28,5.805518529586155e-28,2.6530075141282635e-29,6.899072293503625e-29,2.695424391391299e-32,8.564014428697584e-15,1.1629647289506577e-17,4.6495341859285427e-29,1.5199771494430464e-30,5.616329759969544e-33,2.8180404176783345e-39,9.801513673683495e-38,1.8879540650420118e-45,1.2632007133842644e-44,1.8530184068610678e-55,1.7779047836480607e-56,6.864231497096489e-30,9.052537974449078e-31,2.186220809421235e-37,1.3367459976256223e-39,1.037862638592419e-34,4.4284170539924684e-42,4.4794795977645186e-27,9.870353071442901e-39
1.7962378627782944e-07,0.3193304196056018,1.0,1396.9999988154548,0.9519877196376126,0.0,0.0,0.0015605694081217013,1.92758474285996e-12,2.8783081309372416e-11,0.024769394744656323,8.426301770575396e-13,5.316893065251645e-14,6.238737089861803e-11,2.4530913900364698e-15,0.021682316035582128,8.001905835339192e-11,2.8285058341738886e-32,1.2449045246668786e-27,1.2194264147396894e-27,4.309551732657232e-29,1.4425651795939676e-28,7.418478511779496e-32,1.1655596223791146e-14,1.6057537291313422e-17,9.12896301916566e-29,3.305395337842284e-30,1.4957670126449827e-32,4.7326903555411666e-39,2.749798462175582e-37,4.7400707325707106e-45,3.934469666964738e-44,8.157777633941051e-55,8.830454283655202e-56,1.4888297712539123e-29,2.5462953517508502e-30,5.949521317981349e-37,3.808063977127455e-39,2.2233730023456305e-34,1.0443445309128903e-41,8.762219926664318e-27,1.665217140740478e-38
2.2831238244016975e-07,0.3193304196056018,1.0,1396.9999984938506,0.9519877196376126,0.0,0.0,0.0015605694070387793,2.458563034484458e-12,3.648443228968586e-11,0.024769394712156546,1.3378141998886102e-12,1.0546169769436705e-13,7.930086240471111e-11,3.953178976816828e-15,0.021682316021769742,1.0171628801980324e-10,3.999268014160743e-32,1.716626021481994e-27,2.1029380417554406e-27,6.325651703373929e-29,2.5419801499492316e-28,1.6077292050257946e-31,1.470786807354266e-14,2.0539188649826287e-17,1.532293071955436e-28,5.950968250105298e-30,3.16132094343197e-32,6.878874523772956e-39,5.93848320610869e-37,9.507861546413441e-45,9.225548818051233e-44,2.8713033700628666e-54,3.0485755534745534e-55,2.6383853594631916e-29,5.5079610939551994e-30,1.2759169494123066e-36,8.443850473766855e-39,3.973865685736401e-34,1.9793611522962095e-41,1.4471271134422778e-26,2.392289944082414e-38
3.1268225737438586e-07,0.3193304196056018,1.0,1396.9999979363802,0.9519877196376126,0.0,0.0,0.0015605694051306301,3.3885313776390837e-12,4.97314507250993e-11,0.024769394655643408,2.4400649708840026e-12,2.5993673593946883e-13,1.0861231357041418e-10,7.397512706921772e-15,0.02168231599782779,1.3932569498733426e-10,6.113738720649174e-32,2.540334814582898e-27,4.1730164808064996e-27,1.0623680528332322e-28,5.402779755380726e-28,4.5258539910317e-31,1.9923998322073093e-14,2.842464748858749e-17,3.0464117507292786e-28,1.2829358851932428e-29,8.576068994737733e-32,1.0876623330669989e-38,1.6120164333653192e-36,2.379788277996746e-44,2.830263844855233e-43,1.660457708231408e-53,1.7486256082271245e-54,5.462807270041903e-29,1.497841534511012e-29,3.52607202813482e-36,2.446366890298713e-38,8.570235607705638e-34,4.512301840191376e-41,2.7734998454602167e-26,3.6765326895549366e-38
