,mass,volume,temperature,AR,HE,N2,H2,H,O,O2,OH,H2O,HO2,H2O2,CO,CO2,C,CH,CH2,CH2(S),CH3,CH4,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,CH3CO,H2CC,OH*,CH*
2.387965510336626e-13,6.8598244365615315,1.0,1130.0,0.8666225330924878,0.0,0.0,0.000230618952474655,7.776009295420752e-19,1.172593158783884e-16,0.0726788805994656,1.0922362583219808e-23,4.313500635711216e-30,2.5461800140117373e-17,2.582414211059734e-27,0.060467967355571375,3.225492535962078e-16,3.056498347458491e-47,2.925499842930327e-42,6.191218004094275e-45,1.5694510843290132e-41,4.604707784013053e-43,2.2532334312782215e-51,4.8922290399707874e-23,3.658922157264827e-24,6.243440942462439e-43,3.97632541123017e-45,5.165161326774068e-52,3.1123170114962673e-57,5.202498369568868e-60,1.8865393040556142e-67,3.998550167990195e-71,6.508546892946399e-75,5.339468905781055e-73,4.454253560744507e-46,2.0736514340929207e-49,5.520224383241125e-56,8.398144645371799e-61,8.638937397768378e-51,2.573340504983204e-65,1.5437192564955218e-40,6.0608840595438855e-59
1.9199397200614946e-09,6.8598244365615315,1.0,1130.000000000277,0.8666225330924878,1.3503117107052794e-32,0.0,0.00023061895246217245,6.1626391427042196e-15,9.425501165487465e-13,0.07267888059738066,6.954825186459374e-16,2.2080302507057655e-18,2.0560913462741928e-13,1.67638369059391e-19,0.060467967353920654,2.593854740811402e-12,7.927856480629683e-40,1.0918097362760611e-32,1.1796089869447742e-33,2.4322673571187475e-34,4.475385419403967e-34,1.7605164107545117e-38,3.640676443229105e-17,2.922639932123261e-20,1.466597556221163e-34,1.7507831180806166e-34,1.867356283500736e-38,2.006854786406548e-47,3.2579802156364765e-45,8.685886804755624e-56,1.726199624136389e-55,5.060164880510478e-62,4.1718485100796484e-60,4.507140494163054e-33,4.979153508833925e-35,4.30674951223846e-43,1.8029473850555422e-44,2.3063082725308832e-38,1.382217080659153e-53,9.669076173987406e-30,4.432386453441601e-46
4.931136626886857e-09,6.8598244365615315,1.0,1130.0000000007865,0.8666225330924878,-5.355774736627463e-32,0.0,0.00023061895244245954,1.5769312369131497e-14,2.4204558642426757e-12,0.07267888059410509,2.9135158732767227e-15,1.3026031771911281e-17,5.320705903749793e-13,7.08728639640427e-19,0.06046796735133074,6.662927359230226e-12,2.5442702764355293e-39,5.492129692506933e-32,6.31734179112635e-33,7.397437659665904e-34,2.88994635995094e-33,1.454531270276392e-37,1.451102133331595e-16,7.541344589754419e-20,1.0159263200932522e-33,1.4240599871345272e-33,1.8598489982428888e-37,1.111275131899142e-46,2.320978750975087e-44,8.816799205528254e-53,1.654286423784086e-50,1.0123769735490875e-61,7.516582060541356e-60,3.028656785045806e-32,3.555027556113919e-34,3.5570433667517405e-42,1.6024164947421583e-43,1.6277309907714026e-37,1.3002638291973973e-48,6.443880646733635e-29,2.4123522714142252e-45
7.942333533712219e-09,6.8598244365615315,1.0,1130.0000000014252,0.8666225330924878,5.424249427333448e-32,0.0,0.00023061895242265594,2.5255184331377877e-14,3.897866109955379e-12,0.07267888059082436,6.608482362390642e-15,3.8382344707671356e-17,8.624702587330216e-13,1.6222564089560816e-18,0.060467967348739986,1.0733227664844467e-11,4.5596095435265155e-39,1.3920744949712813e-31,1.729956719065744e-32,1.311339545212999e-33,9.09999640632802e-33,5.564052109688335e-37,3.1353366644734556e-16,1.2181498059218764e-19,3.0820795345131884e-33,4.787853616985759e-33,7.610448543500873e-37,3.051600821512792e-46,7.933018047081264e-44,4.112187478230972e-52,1.1195269633509935e-49,4.6981156800142706e-61,2.750835345456373e-59,9.701712094072856e-32,1.217331970738153e-33,1.360255971526811e-41,6.448885977840253e-43,5.441362694279732e-37,7.062270139207282e-48,1.7254687652414792e-28,6.431731855197073e-45
1.439266994327097e-08,6.8598244365615315,1.0,1130.0000000032778,0.8666225330924878,-3.5942726405336396e-31,0.0,0.00023061895237988983,4.5138553652785364e-14,7.060719923674405e-12,0.07267888058377767,1.99276771752526e-14,1.922802389159685e-16,1.5847708785249545e-12,5.016858431001776e-18,0.06046796734318709,1.9457104514815172e-11,9.00563949374772e-39,4.603766077334188e-31,7.15121490942675e-32,2.8072284030307086e-33,4.97753728162651e-32,5.1205370436353516e-36,8.351400439803935e-16,2.2249607750553145e-19,1.3106241816032598e-32,2.582785219794999e-32,7.061485188153269e-36,1.1741527854478068e-45,5.500620881420944e-43,3.690008074964909e-51,2.4354748654197858e-48,9.896118329094119e-60,3.418612779363002e-58,5.29192377147939e-31,8.480350347291449e-33,1.2499845338057716e-40,6.631116145082913e-42,3.2982793197657904e-36,8.177946445113798e-47,5.736852279191206e-28,2.266838477110867e-44
2.084300635282972e-08,6.8598244365615315,1.0,1130.0000000057435,0.8666225330924878,-8.219161891312492e-31,0.0,0.000230618952336532,6.451322880158673e-14,1.0220896434836773e-11,0.07267888057670326,4.0393745036966205e-14,5.308496586796137e-16,2.3283414641298703e-12,1.0400334397792674e-17,0.06046796733762974,2.8187733337156183e-11,1.3509750920071105e-38,9.382123799507762e-31,1.7048861831570626e-31,4.710030830422166e-33,1.397558202936823e-31,1.895700002072032e-35,1.5212872430800343e-15,3.257454067032071e-19,3.130235092712392e-32,7.153931204033013e-32,2.586885622926355e-35,2.613063090160954e-45,1.771992530176156e-42,1.3522197184310667e-50,1.1863420483000008e-47,1.1298341570205863e-58,8.090316586598722e-58,1.4631388563267009e-30,2.737902493410378e-32,4.623190852573265e-40,2.5588089699643863e-41,9.674529658257918e-36,3.093564420388442e-46,1.1983238718855249e-27,4.755802634920754e-44
2.729334276238847e-08,6.8598244365615315,1.0,1130.0000000088319,0.8666225330924878,-7.6713482400627414e-31,0.0,0.00023061895229260318,8.338859426378654e-14,1.337830144255286e-11,0.07267888056960213,6.779843544230954e-14,1.1258714974189274e-15,3.092412941756536e-12,1.7841866830766576e-17,0.060467967332067794,3.692544543938075e-11,1.8011842126193653e-38,1.525485107078147e-30,3.138365360587569e-31,7.025842606702705e-33,2.936430782346101e-31,4.944457699174026e-35,2.311153369609408e-15,4.3189904290990227e-19,5.840240933607417e-32,1.5023075376283057e-31,6.712413425655267e-35,4.5131239590344914e-45,4.145404931644635e-42,3.5004777192290035e-50,3.639528554296522e-47,6.536491405562744e-58,1.2730295066479639e-57,3.0129911153875558e-30,6.415154436686374e-32,1.2047313323573908e-39,6.853324056659566e-41,2.0880377581505478e-35,7.646510512838361e-46,2.0415624729782433e-27,7.860916785189063e-44
3.8679251772083504e-08,6.8598244365615315,1.0,1130.0000000157543,0.8666225330924878,-8.199014881083153e-31,0.0,0.00023061895221353782,1.15649159234758e-13,1.8944567097054676e-11,0.07267888055700238,1.321485844385538e-13,3.0771614142109255e-15,4.49115200018526e-12,3.623267967443653e-17,0.06046796732223822,5.236740533647641e-11,2.5996362007153863e-38,2.6866633667966022e-30,6.484490045469748e-31,1.191682041465875e-32,7.544914648684625e-31,1.8099144085277368e-34,3.812464295875867e-15,6.276581052354945e-19,1.2842615928383693e-31,3.955119231232572e-31,2.4832948925324244e-34,8.483902821124023e-45,1.2493256025836138e-41,1.2489553101618909e-49,1.6599765774132226e-46,5.889418199570539e-57,2.812189469461512e-57,7.373179749055525e-30,1.9379726133188682e-31,4.400046174380585e-39,2.5968514044260642e-40,5.52650509395451e-35,2.4013147897986236e-45,4.027181478657595e-27,1.4053904385034535e-43
5.006516078177854e-08,6.8598244365615315,1.0,1130.000000024692,0.8666225330924878,-8.503925563565238e-31,0.0,0.0002306189521329891,1.4641938866417643e-13,2.450152086823403e-11,0.07267888054433161,2.1589661357032474e-13,6.4378299226847516e-15,5.94441066661188e-12,6.152125047808477e-17,0.06046796731239294,6.783387483304751e-11,3.4016058378952266e-38,3.925577127842086e-30,1.0551532595111973e-30,1.7542825154705725e-32,1.4704183766114304e-30,4.535552620291526e-34,5.372786725280921e-15,8.326404652650388e-19,2.27794502632347e-31,7.98687687013462e-31,6.3509004813293675e-34,1.2880603695820572e-44,2.707639852560922e-41,3.172894113373377e-49,4.4894585227314885e-46,3.2003847810146883e-56,3.4916606470580337e-57,1.369512277422274e-29,4.206311932123952e-31,1.1004939919990349e-38,6.630440999004278e-40,1.0948030173524664e-34,4.85547589583631e-45,6.624075404592136e-27,2.0697823141969293e-43
6.145106979147357e-08,6.8598244365615315,1.0,1130.000000035466,0.8666225330924878,-6.579753721810307e-31,0.0,0.0002306189520504687,1.7607440001376098e-13,3.00488042694749e-11,0.07267888053158364,3.177953439250619e-13,1.1547467768985921e-14,7.457030314385733e-12,9.398246295499267e-17,0.06046796730253115,8.332629411858564e-11,4.2102711684311806e-38,5.172043840189976e-30,1.4985518362299711e-30,2.361130565174575e-32,2.4507191344730646e-30,9.2560487945506e-34,6.926832194548578e-15,1.048659148300961e-18,3.56083465184547e-31,1.3823109742623661e-30,1.3279424572649196e-33,1.7378001532236636e-44,4.879904420175279e-41,6.570114051681827e-49,9.620625091444353e-46,9.790966265802742e-56,4.522231103811642e-57,2.174508692661121e-29,7.5880589534304935e-31,2.2416186393374312e-38,1.3700045342143794e-39,1.8436416843024289e-34,8.481679308718044e-45,9.767625420003992e-27,2.739620192041189e-43
