,"mass","volume","temperature","AR","HE","N2","H2","H","O","O2","OH","H2O","HO2","H2O2","CO","CO2","C","CH","CH2","CH2(S)","CH3","CH4","HCO","CH2O","CH2OH","CH3O","CH3OH","C2H","C2H2","C2H3","C2H4","C2H5","C2H6","HCCO","CH2CO","CH2CHO","CH3CHO","CH3CO","H2CC","OH*","CH*"
1.93604086024229E-10,0.271735246390461,1,1943.99999993652,0.948028590836467,0,0,8.73938860714176E-05,1.19974615975007E-13,4.17223928830823E-12,0.028313523045793,2.30358241744017E-16,4.76761364636021E-21,3.91689568577569E-12,3.6757381503576E-19,0.023570492211986,1.14713032510702E-11,4.79255958168468E-30,1.5885343023351E-27,3.89107473110342E-31,1.07231386151892E-29,8.34723743349114E-31,6.75317556048321E-37,2.40027794819507E-15,1.3768920082823E-18,2.40294937073753E-30,9.83205643210431E-32,8.0236429715364E-37,1.3288362076151E-35,2.33082805631605E-39,2.04219031904556E-45,3.18702738122871E-48,1.16734555225633E-59,4.10751655363348E-60,2.53667379373697E-32,2.93094408508368E-34,6.43531323639965E-41,1.10197579649445E-45,2.55790880331927E-38,1.54155910070424E-41,5.02224782370995E-29,1.68898136329878E-37
5.43183050409109E-05,0.271735246390461,1,1943.9665522065,0.948028590836467,0,0,7.96958863235442E-05,1.12614176283698E-06,5.01088942681336E-05,0.028158700553256,3.86480512961823E-05,3.8082559125808E-05,6.37398549428988E-07,3.89012932036764E-10,0.023511112049021,9.32968124578815E-05,2.18517014500558E-20,1.64750502450363E-19,1.47559509984266E-19,8.79016157237468E-21,3.24312979226149E-19,1.42241319281978E-20,4.25425994264217E-10,3.02121985030164E-12,2.1699154496847E-18,1.172346060994E-19,2.47359073008317E-20,7.2484034618719E-27,4.05281097289044E-24,1.42738267087846E-29,1.27364894319551E-29,3.65644454738821E-35,4.62579103303181E-36,2.10506800199557E-20,3.13479375671921E-20,1.52013970518163E-26,5.6520637295672E-27,1.1855484266141E-25,6.06271599204305E-28,9.23302463759029E-15,2.2167144655475E-27
5.48430301490759E-05,0.271735246390461,1,1943.96647034326,0.948028590836467,0,0,7.9284200515889E-05,1.18495221964532E-06,5.28567385496813E-05,0.028150336167896,4.0681931078516E-05,4.01577802824995E-05,6.40506035039158E-07,4.06178451157899E-10,0.02350786058249,9.84054492499939E-05,2.30658990428865E-20,1.72946863421378E-19,1.53047977307325E-19,9.10663607267472E-21,3.42333235853238E-19,1.48703272883575E-20,4.45914805867742E-10,3.10988023543861E-12,2.31812849498176E-18,1.26971914695416E-19,2.63242388115784E-20,7.72879392473568E-27,4.33164133727133E-24,1.60247035293484E-29,1.40837557521508E-29,4.2512480128612E-35,5.08024284346807E-36,2.18565668245283E-20,3.26202588653465E-20,1.63186890884095E-26,6.22756662180466E-27,1.25121827909599E-25,6.60942284786133E-28,1.02226424526744E-14,2.32708049131495E-27
5.5367755257241E-05,0.271735246390461,1,1943.96644880337,0.948028590836467,0,0,7.88530133684374E-05,1.24645843030752E-06,5.57457696995724E-05,0.028141556392135,4.28102710806988E-05,4.23331762891475E-05,6.43501863815448E-07,4.24930527508773E-10,0.023504440197099,0.000103779488142,2.43440788711469E-20,1.81515430864064E-19,1.58666724557637E-19,9.43037780269544E-21,3.6161633730869E-19,1.55489140218749E-20,4.67280126846194E-10,3.19921574347437E-12,2.47534938644414E-18,1.37393878986539E-19,2.8002749485242E-20,8.24258409017654E-27,4.63027419561906E-24,1.79890291718117E-29,1.55880476948461E-29,4.94588335127294E-35,5.58611211240068E-36,2.26805138305416E-20,3.39366626607567E-20,1.75262618000679E-26,6.8655154241071E-27,1.32147061231927E-25,7.20435114989929E-28,1.13154370312861E-14,2.4424697161856E-27
5.58924803654061E-05,0.271735246390461,1,1943.96649545599,0.948028590836467,0,0,7.84016463598434E-05,1.3107452634951E-06,5.87822422063151E-05,0.028132344399909,4.50361558263053E-05,4.46124199954263E-05,6.46379741567955E-07,4.45415630158535E-10,0.02350084316508,0.000109431070887,2.56892233901901E-20,1.90467151370855E-19,1.64409428112727E-19,9.76104164193211E-21,3.82249714854708E-19,1.62619326339918E-20,4.89543739472126E-10,3.28900051171747E-12,2.64187131529104E-18,1.48529015229927E-19,2.97740690400634E-20,8.79193383426189E-27,4.94988462334966E-24,2.01913076171811E-29,1.7268976698724E-29,5.75747509049284E-35,6.14987166605095E-36,2.35215078380304E-20,3.52976202227413E-20,1.88306871971713E-26,7.5728311906652E-27,1.39662027257575E-25,7.85122287019987E-28,1.25214916949145E-14,2.56303134936681E-27
5.64172054735712E-05,0.271735246390461,1,1943.96661898324,0.948028590836467,0,0,7.79294235697675E-05,1.37789610659041E-06,6.19725792129347E-05,0.02812268308897,4.73626270553254E-05,4.69991969217134E-05,6.4913329305573E-07,4.67790920143819E-10,0.023497061519532,0.000115372714959,2.71044079674734E-20,1.99812581299024E-19,1.70268597928783E-19,1.00982221677352E-20,4.04322492420421E-19,1.70115366077562E-20,5.12726257368307E-10,3.378986748252E-12,2.81795517248827E-18,1.60403964392684E-19,3.16404782012793E-20,9.37909670407569E-27,5.29166579802974E-24,2.26584090566422E-29,1.91486687442381E-29,6.7060989730534E-35,6.77878460816278E-36,2.43783845470081E-20,3.67034541068091E-20,2.02387674650178E-26,8.35712686982149E-27,1.47698769510526E-25,8.55394967285098E-28,1.3851752979058E-14,2.68890954793822E-27
5.69419305817363E-05,0.271735246390461,1,1943.96682894771,0.948028590836467,0,0,7.74356750358993E-05,1.44799232651838E-06,6.53233648270001E-05,0.028112555122977,4.97926643948182E-05,4.94971903029718E-05,6.51756110085509E-07,4.9222457820639E-10,0.023493087059634,0.000121617305365,2.85927980332526E-20,2.0956178710317E-19,1.76235512575605E-19,1.04414506944229E-20,4.27924408236241E-19,1.77999865292504E-20,5.36846912039605E-10,3.46890466124594E-12,3.0038221522841E-18,1.73042925969199E-19,3.36038325821642E-20,1.0006415412363E-26,5.65681977313644E-24,2.54196944828372E-29,2.12520669461925E-29,7.81527615612921E-35,7.48097235609881E-36,2.52498246269031E-20,3.81543170362629E-20,2.17574905243092E-26,9.22674549314027E-27,1.56289490927377E-25,9.31662669808111E-28,1.53180839127965E-14,2.82024209077933E-27
5.74666556899014E-05,0.271735246390461,1,1943.96713586361,0.948028590836467,0,0,7.69197404410077E-05,1.52111268643897E-06,6.88413347468744E-05,0.028101942979353,5.23291642291367E-05,5.21100645301644E-05,6.54241804641885E-07,5.18896060271032E-10,0.023488911357569,0.000128178083776,3.01576453543291E-20,2.1972423820038E-19,1.82300158854643E-19,1.07901925604474E-20,4.53144491492715E-19,1.86296406521941E-20,5.6192332736667E-10,3.55846265707784E-12,3.19964582638865E-18,1.86467042222288E-19,3.5665480685284E-20,1.0676315460342E-26,6.04654658180192E-24,2.8507122985914E-29,2.36072595942486E-29,9.1125410210942E-35,8.26547868655337E-36,2.61343510736068E-20,3.96501693626794E-20,2.33939739285953E-26,1.0190791379049E-26,1.65466065003212E-25,1.01435231393206E-27,1.69333170828703E-14,2.9571589524979E-27
5.79913807980665E-05,0.271735246390461,1,1943.96755127108,0.948028590836467,0,0,7.63809731360972E-05,1.5973327187847E-06,7.25333650738033E-05,0.028090829003185,5.49749167433202E-05,5.48414469446487E-05,6.56584066742134E-07,5.47996262644977E-10,0.023484525767287,0.000135068634741,3.1802283340982E-20,2.30308692671238E-19,1.88451177358217E-19,1.1143844712673E-20,4.80069475134236E-19,1.95029412626393E-20,5.87971282903516E-10,3.64734784197142E-12,3.40554376414152E-18,2.00693737008715E-19,3.78261766218864E-20,1.13912966492821E-26,6.46203155974734E-24,3.19553359952267E-29,2.6245831831426E-29,1.06300905833811E-34,9.14232604716065E-36,2.70303280367463E-20,4.11907551790809E-20,2.51553959144541E-26,1.12591514097772E-26,1.75259450872127E-25,1.1039069299397E-27,1.87113067493944E-14,3.09978078157466E-27
5.85161059062315E-05,0.271735246390461,1,1943.96808781368,0.948028590836467,0,0,7.58187445022059E-05,1.67672405579028E-06,7.64064591815648E-05,0.028079195467434,5.77325811343005E-05,5.76949079555898E-05,6.58776726557375E-07,5.79727578079214E-10,0.023479921435287,0.000142302868765,3.35301212889418E-20,2.41323076149194E-19,1.94675815386122E-19,1.15017336387141E-20,5.08781930241599E-19,2.04223961726619E-20,6.15004467259894E-10,3.73522686060593E-12,3.62156878809549E-18,2.15736015782353E-19,4.00859884037801E-20,1.21539222530265E-26,6.90443079499347E-24,3.58017105771129E-29,2.92032375784302E-29,1.24055225482328E-34,1.01225594412287E-35,2.79359612927289E-20,4.27755772014097E-20,2.70489124855779E-26,1.2442502961972E-26,1.85699007266253E-25,1.20078397698465E-27,2.0666979175742E-14,3.24821728658624E-27
