,mass,volume,temperature,AR,HE,N2,H2,H,O,O2,OH,H2O,HO2,H2O2,CO,CO2,C,CH,CH2,CH2(S),CH3,CH4,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,CH3CO,H2CC,OH*,CH*
1.261310781667342e-12,1.5255993118778737,1.0,1215.0000000000002,0.9480285908364667,0.0,0.0,8.739388631111045e-05,2.5419400153466813e-19,9.244662635139623e-17,0.028313523057932707,4.387187144699536e-24,9.577943126905e-31,8.323128412155655e-18,5.264744550762543e-28,0.0235704922192894,2.5429612195619313e-16,5.551222747945882e-45,9.664165315470737e-41,3.4426799414411734e-44,8.77250489643267e-41,1.1373961253625014e-42,2.4645875149638456e-51,1.3987055891826735e-22,2.946882406071033e-24,1.4902189554901832e-42,1.1868871226167332e-44,6.317305878865702e-52,2.9769131555195924e-54,1.0366974226287808e-58,2.116551001618685e-65,3.169865583764686e-69,2.0818112210967415e-74,7.681874848515637e-73,1.0393210558814747e-45,2.8264348004471555e-48,2.186494174195453e-55,3.18834974928737e-61,6.113921540160237e-51,1.1118234241096326e-62,1.0129505723902791e-41,8.281560431182873e-57
1.2614369127455087e-08,1.5255993118778737,1.0,1215.000000002524,0.9480285908364667,0.0,0.0,8.739388630598964e-05,2.5505591807225602e-15,9.243603354405807e-13,0.02831352305600277,4.3684499342683534e-16,9.537036749028888e-19,8.331913270533315e-14,5.2695887357194755e-20,0.023570492217670855,2.543284467374615e-12,2.974595648922956e-37,2.6375178292816027e-32,7.073531018333435e-33,1.8335811212901236e-33,3.913955748796363e-34,8.481026315366168e-39,4.990314522581504e-18,2.941861041402618e-20,1.8244965892642524e-34,3.376438127008937e-35,2.5671624416014575e-39,1.0873237902651802e-45,1.0134334427537347e-43,1.957127403022964e-53,2.683286049332297e-53,7.015529896560189e-62,2.643376182748575e-60,1.5317732862850815e-33,6.455831362095461e-35,7.471777176298097e-43,1.9112338272051664e-45,3.6519168258815793e-39,9.411698184928281e-51,1.8883165198309634e-30,7.529726977057729e-45
7.7215681133446e-08,1.5255993118778737,1.0,1215.0000000154837,0.9480285908364667,0.0,0.0,8.73938862791079e-05,1.5767551872551838e-14,5.654798452979926e-12,0.028313523046112468,1.020212950379751e-14,7.863291214470817e-17,5.114354247936507e-13,1.2466969745018685e-18,0.023570492209380074,1.5569561800317256e-11,3.133463034707693e-36,9.225809851718391e-31,2.278129065159513e-31,1.5444258449257793e-32,2.4302458721315877e-32,1.821047645517479e-36,7.711261630218163e-17,1.8054269241737233e-19,7.357970526900343e-33,3.172615864882637e-33,7.037242249198785e-37,5.110898436079573e-44,1.1437389775229987e-41,1.9639794717348423e-50,5.600224627141993e-49,5.300788769010529e-61,9.979693414910083e-60,1.7892292561308204e-31,7.321956863397783e-33,1.5777312994905951e-40,4.721365337011671e-43,2.590362628032241e-37,5.745261372162359e-47,8.270879160301513e-29,3.4713901115108572e-43
1.4181699313943693e-07,1.5255993118778737,1.0,1215.0000000284895,0.9480285908364667,0.0,0.0,8.739388625134867e-05,2.919566277714998e-14,1.0380688536240297e-11,0.02831352303621458,2.98599099135012e-14,3.2711439853665814e-16,9.414770418595442e-13,3.676426890664673e-18,0.02357049220108786,2.859801719624742e-11,6.409399289825247e-36,2.8465452474334012e-30,7.299366789309084e-31,3.2418675828274657e-32,9.716627603874075e-32,9.614363704402564e-36,1.9549603206206707e-16,3.311416670780269e-19,2.703250755843402e-32,1.3465200458135466e-32,3.840285951258125e-36,1.7279802721174933e-43,5.101302432839936e-41,1.1472200333654476e-49,4.724254890618582e-48,2.5979557602110863e-59,6.364442537406673e-58,7.636639939768392e-31,3.271162743075854e-32,8.281230188150086e-40,2.535127193325569e-42,1.053324346181765e-36,4.082405569357013e-46,2.865087771706258e-28,1.1217917895371229e-42
2.0641830514542784e-07,1.5255993118778737,1.0,1215.0000000415484,0.9480285908364667,0.0,0.0,8.739388622262595e-05,4.28655469599036e-14,1.510170600251051e-11,0.02831352302630833,6.004728228893505e-14,8.575594395105173e-16,1.373647242517198e-12,7.449737585576894e-18,0.023570492192793828,4.162928390324898e-11,9.720691244161149e-36,5.715279482874725e-30,1.5553635048724975e-30,5.314607389640998e-32,2.4635695069355054e-31,3.043956996250148e-35,3.4861637109928353e-16,4.829099176766708e-19,6.220116933507207e-32,3.3704400100046807e-32,1.2081007809727993e-35,3.714812247992937e-43,1.4054267938268761e-40,3.8130080587958796e-49,2.0849262599730708e-47,1.524706260950147e-58,1.47943039443761e-57,1.984824944210494e-30,9.025281901356676e-32,2.6063806567505786e-39,8.123832993032662e-42,2.696416905871443e-36,1.512618972517887e-45,6.201510549514365e-28,2.3104957603292475e-42
3.160214482769639e-07,1.5255993118778737,1.0,1215.0000000638408,0.9480285908364667,0.0,0.0,8.739388617157999e-05,6.66645185545008e-14,2.3100153871503926e-11,0.028313523009480975,1.353891903490428e-13,2.8143040097852903e-15,2.1120643127205925e-12,1.7045084035584203e-17,0.023570492178716942,6.374630082080195e-11,1.5281706457725479e-35,1.1988147271489342e-29,3.644682533441774e-30,9.64504255369681e-32,7.479098488393862e-31,1.335340168225298e-34,6.540429010345815e-16,7.429800897058115e-19,1.6235707118450897e-31,9.65372413875174e-32,5.035339541221155e-35,8.434288370697218e-43,4.852732648698144e-40,1.6245140382664527e-48,1.3448886394347154e-46,1.8416026430518603e-57,4.848717452090386e-57,6.001555825851118e-30,3.1242384114037443e-31,1.1266267447628352e-38,3.6323518844066594e-41,8.268933781595017e-36,6.466416573637325e-45,1.4894975897548798e-27,4.954875949479285e-42
4.2562459140849996e-07,1.5255993118778737,1.0,1215.0000000863156,0.9480285908364667,0.0,0.0,8.73938861175741e-05,9.126401801886573e-14,3.108465508004287e-11,0.02831352299262737,2.4040363986067274e-13,6.506994605509756e-15,2.8572038339782775e-12,3.068938463479652e-17,0.023570492164632605,8.587497119259526e-11,2.0821849281927223e-35,1.9430174272313373e-29,6.44562018637562e-30,1.4827274887818927e-31,1.6080353091199314e-30,3.697532659868676e-34,9.97904248396449e-16,1.0067522636862295e-18,3.153781068329672e-31,1.980190354904657e-31,1.3373040042491167e-34,1.434244639317503e-42,1.1384572789395097e-39,4.50772650323911e-48,4.3245240947133664e-46,1.2035356046401433e-56,8.759626138722033e-57,1.2618960645413208e-29,7.3429546637013145e-31,3.0812073927861517e-38,1.0182230166279767e-40,1.7872617352789965e-35,1.573594035043732e-44,2.757245213580374e-27,8.120832504001552e-42
5.99832255766113e-07,1.5255993118778737,1.0,1215.0000001224487,0.9480285908364667,0.0,0.0,8.739388602549483e-05,1.3212201998250186e-13,4.374767788496398e-11,0.028313522965783204,4.662015856061491e-13,1.7270279709475745e-14,4.056020596901223e-12,6.081113316040926e-17,0.023570492142228006,1.2107595828345103e-10,2.960837345311868e-35,3.252514571584137e-29,1.1882122081256168e-29,2.426158681416738e-31,3.8165902816779615e-30,1.1962529597598558e-33,1.5894019296614475e-15,1.4331395480217255e-18,6.7626139661137605e-31,4.478579088298699e-31,4.117304021579431e-34,2.5060762433210432e-42,2.979765236678366e-39,1.5976462213188812e-47,1.5685988636702705e-45,1.0252560250720499e-55,1.3654069771164186e-56,2.8486427528348606e-29,1.926362891168341e-30,9.77391464690735e-38,3.3464426694260143e-40,4.2617468915446497e-35,4.073026160215577e-44,5.642746657142385e-27,1.3713054158389732e-41
7.740399201237261e-07,1.5255993118778737,1.0,1215.000000159132,0.9480285908364667,0.0,0.0,8.739388592556913e-05,1.7527939157283855e-13,5.6377747505525455e-11,0.028313522938866676,7.614110374131366e-13,3.575404886832803e-14,5.273423819606997e-12,1.0141015371415491e-16,0.023570492119796775,1.563186981798337e-10,3.837621261616542e-35,4.6533772801905714e-29,1.8050927384588038e-29,3.4618292500402695e-31,7.145729242658948e-30,2.8358900894383714e-33,2.2186821110347465e-15,1.869104970982241e-18,1.191683324340098e-30,8.161053302425678e-31,9.450098668750661e-34,3.665880901225167e-42,5.962620152758594e-39,4.1485904283965695e-47,3.98206911566146e-45,3.9626596542161345e-55,2.3131548572369615e-56,5.0460460237716975e-29,3.861626250466112e-30,2.27425345023213e-37,8.035103021294061e-40,7.99991668191808e-35,8.161709882371631e-44,9.663559090141302e-27,1.970106409945575e-41
9.482475844813392e-07,1.5255993118778737,1.0,1215.0000001964202,0.9480285908364667,0.0,0.0,8.73938858175834e-05,2.208861953066141e-13,6.897654163772515e-11,0.028313522911873626,1.1226417649274065e-12,6.402370870940104e-14,6.510487212956803e-12,1.526385538821953e-16,0.023570492097334115,1.916107436331913e-10,4.7125986832570063e-35,6.123834554119941e-29,2.4611146847581975e-29,4.549814402279664e-31,1.1674245163253116e-29,5.634775155474663e-33,2.880743646882447e-15,2.3144560039316386e-18,1.8801039175233678e-30,1.3182915444117187e-30,1.8389430719525136e-33,4.881873104234508e-42,1.021853553326637e-38,9.313023687224048e-47,8.333523427382974e-45,1.2054651088614529e-54,4.554140203217686e-56,7.779708710577594e-29,6.627588083683925e-30,4.434917251519925e-37,1.6152040971130616e-39,1.3091084074870277e-34,1.4060502384818387e-43,1.4924078903834225e-26,2.5984200881864307e-41
