"Time  (sec)","Volume  (cm3)","Temperature  (K)","Pressure  (bar)","Mole_fraction_AR  ()","Mole_fraction_HE  ()","Mole_fraction_N2  ()","Mole_fraction_H2  ()","Mole_fraction_H  ()","Mole_fraction_O  ()","Mole_fraction_O2  ()","Mole_fraction_OH  ()","Mole_fraction_H2O  ()","Mole_fraction_HO2  ()","Mole_fraction_H2O2  ()","Mole_fraction_CO  ()","Mole_fraction_CO2  ()","Mole_fraction_C  ()","Mole_fraction_CH  ()","Mole_fraction_CH2  ()","Mole_fraction_CH2(S)  ()","Mole_fraction_CH3  ()","Mole_fraction_CH4  ()","Mole_fraction_HCO  ()","Mole_fraction_CH2O  ()","Mole_fraction_CH2OH  ()","Mole_fraction_CH3O  ()","Mole_fraction_CH3OH  ()","Mole_fraction_C2H  ()","Mole_fraction_C2H2  ()","Mole_fraction_C2H3  ()","Mole_fraction_C2H4  ()","Mole_fraction_C2H5  ()","Mole_fraction_C2H6  ()","Mole_fraction_HCCO  ()","Mole_fraction_CH2CO  ()","Mole_fraction_CH2CHO  ()","Mole_fraction_CH3CHO  ()","Mole_fraction_CH3CO  ()","Mole_fraction_H2CC  ()","Mole_fraction_OH*  ()","Mole_fraction_CH*  ()","Specific_heat_Cp  (erg/g-K)","Heat_capacity_ratio  ()","Entropy  (erg/g-K)","Ppmvd15%O2_CO  (ppm)"
0,1,1944,1.119996,0.9306,0,0,0.0017,0,0,0.0347,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6305716,1.506591,52464360,11294.92
4.157089E-06,1,1943.997,1.119994,0.9306,1.03051E-22,0,0.001699904,5.796094E-08,2.41496E-07,0.03469968,6.36993E-08,9.312476E-09,5.075274E-08,1.546621E-11,0.03299977,2.287957E-07,1.110216E-21,2.934251E-20,2.33174E-20,1.391551E-21,4.750922E-21,2.687056E-23,1.870034E-11,1.059737E-13,2.739963E-21,5.268954E-24,5.099703E-24,8.328114E-28,4.628559E-26,1.17541E-33,4.35756E-33,2.135054E-41,4.781585E-41,1.1691E-21,2.39563E-22,9.305049E-29,8.508129E-31,1.359878E-27,2.675859E-30,2.42979E-18,3.942494E-28,6305716,1.506591,52464370,11294.82
2.477205E-05,1,1943.993,1.119992,0.9305999,1.240825E-22,0,0.001695529,1.535699E-06,4.296035E-06,0.03469345,3.009679E-06,2.100255E-06,1.959657E-07,7.15275E-11,0.0329967,3.291361E-06,2.01703E-20,1.404954E-19,1.893306E-19,1.208791E-20,1.932308E-19,6.098958E-21,8.864034E-11,1.09731E-12,1.24014E-19,1.185504E-21,1.26807E-21,4.111354E-27,1.988643E-24,2.571565E-31,1.060209E-30,9.395507E-38,3.306534E-37,1.103201E-20,1.148011E-20,3.94538E-27,2.093403E-28,5.53487E-26,1.035053E-28,1.368812E-16,1.892141E-27,6305717,1.506591,52464630,11293.4
5.145854E-05,1,1944.011,1.120002,0.9305999,1.251442E-22,0,0.0016071,2.793517E-05,7.531257E-05,0.03458299,5.531139E-05,5.108935E-05,3.741046E-07,2.009974E-10,0.03294844,5.15596E-05,3.562962E-19,1.323343E-18,1.199142E-18,7.29793E-20,1.381681E-18,7.072574E-20,8.250634E-10,5.776364E-12,2.542472E-18,1.120629E-19,2.922543E-20,4.535554E-26,2.109486E-23,4.039716E-29,4.131123E-29,5.975006E-35,1.971318E-35,7.554444E-20,9.774518E-20,3.838215E-26,1.076398E-26,3.951088E-25,2.639214E-27,9.804886E-15,1.780862E-26,6305722,1.50659,52467810,11270.44
7.814502E-05,1,1944.596,1.120335,0.9306036,1.311613E-22,0,0.0008560122,0.0002726406,0.0007886003,0.03355124,0.0004394483,0.0004875563,7.716092E-07,4.465437E-09,0.03241949,0.0005806315,3.944235E-18,1.127908E-17,3.271738E-18,1.979842E-19,1.202087E-17,4.35735E-19,6.621362E-09,1.124165E-11,3.10296E-17,2.114894E-18,2.721089E-19,6.806801E-25,2.231288E-22,4.210457E-27,4.68199E-27,6.319049E-32,1.013775E-33,2.297149E-19,3.997307E-19,6.532486E-25,7.187337E-25,3.373896E-24,1.219846E-25,8.56697E-13,1.531436E-25,6306119,1.506539,52485950,11030.39
0.0001048315,1,1947.296,1.121869,0.9306217,1.143422E-22,0,0.0001537556,0.0006036088,0.002253546,0.03182108,0.0006012671,0.0009434212,8.220568E-07,7.618705E-09,0.03104118,0.001959573,1.215951E-17,2.185902E-17,7.726986E-19,7.172652E-20,1.15256E-17,2.826341E-19,1.244315E-08,4.907344E-12,2.591281E-17,2.009754E-18,7.996085E-20,1.154395E-24,1.596656E-22,6.969636E-27,1.054663E-26,2.916827E-31,1.827398E-33,1.68793E-19,1.877929E-19,6.192795E-25,9.382631E-25,3.083297E-24,4.129442E-25,5.313273E-12,3.044038E-25,6308783,1.506202,52506700,10464.45
0.0001419384,1,1951.546,1.124263,0.9306667,1.033423E-22,0,8.197041E-05,0.0008807098,0.003666935,0.03023189,0.0005825445,0.0008861059,8.082611E-07,6.404754E-09,0.02919837,0.003803981,2.142204E-17,2.797488E-17,1.087825E-18,9.530994E-20,9.898388E-18,2.091543E-19,1.566296E-08,4.517904E-12,3.170861E-17,2.64634E-18,5.850075E-20,1.226357E-24,1.050026E-22,7.455459E-27,1.069673E-26,4.06954E-31,1.541697E-33,1.383655E-19,1.2652E-19,5.402513E-25,1.160239E-24,2.494845E-24,6.77872E-25,1.264601E-11,4.039736E-25,6313392,1.505609,52523650,9755.442
0.0001940915,1,1958.287,1.128026,0.930766,1.041512E-22,0,8.851389E-05,0.001315471,0.005182206,0.0283821,0.0006107571,0.0006482543,8.100688E-07,6.216312E-09,0.02680054,0.006205328,3.437914E-17,3.553736E-17,1.180906E-18,8.890844E-20,-3.72941E-18,4.932363E-19,1.945921E-08,5.211688E-12,4.958293E-17,4.434715E-18,2.858956E-19,2.017713E-24,2.880603E-22,2.518532E-26,1.695783E-25,8.933547E-30,6.43943E-30,1.270604E-19,1.402289E-19,5.123249E-25,1.241108E-23,-8.891891E-25,1.130381E-24,2.737074E-11,5.472059E-25,6319796,1.504757,52541130,8860.572
0.0002821687,1,1971.454,1.135296,0.9310238,1.019283E-22,0,8.572911E-05,0.00185811,0.007197709,0.02583547,0.0005956813,0.0003877535,7.604212E-07,5.008178E-09,0.02343701,0.009577991,5.929729E-17,4.261976E-17,1.593221E-18,2.102113E-19,1.90678E-17,4.450978E-19,2.146032E-08,5.237276E-12,6.296014E-17,6.019584E-18,7.349894E-20,1.653724E-24,1.044028E-22,1.465146E-26,2.170261E-26,1.601195E-30,-1.229566E-31,8.157024E-20,1.194126E-19,8.243427E-25,1.846218E-24,3.503063E-24,1.551673E-24,5.564253E-11,7.274581E-25,6328954,1.503449,52561380,7639.055
0.0004,1,1990.1,1.145472,0.9314803,1.094518E-22,0,7.646749E-05,0.002195555,0.008746869,0.02366379,0.0005562482,0.000248881,6.879739E-07,3.75048E-09,0.02044651,0.01258469,9.594559E-17,4.637309E-17,6.531514E-18,4.422523E-19,1.250083E-16,1.792157E-18,2.048136E-08,4.545332E-12,5.973017E-17,5.869949E-18,3.259354E-19,-3.773173E-26,-6.132198E-24,-8.289098E-28,1.057677E-25,4.544883E-30,1.90168E-31,5.711353E-19,3.644684E-19,4.337288E-24,3.010263E-23,4.104221E-23,1.68801E-24,8.227597E-11,9.31104E-25,6337366,1.502075,52579400,6585.594
