Time  (sec)		Temperature  (K)	Pressure  (bar)							Mole_fraction_O2  ()
0		1944	1.119996							0.0347
4.157089E-06		1943.997	1.119994							0.03469968
2.477205E-05		1943.993	1.119992							0.03469345
5.145854E-05		1944.011	1.120002							0.03458299
7.814502E-05		1944.596	1.120335							0.03355124
0.0001048315		1947.296	1.121869							0.03182108
0.0001419384		1951.546	1.124263							0.03023189
0.0001940915		1958.287	1.128026							0.0283821
0.0002821687		1971.454	1.135296							0.02583547
0.0004648004		2000.265	1.150981							0.02293268
0.0007495975		2041.685	1.173273							0.02163358
0.001		2073.011	1.190032							0.02141285
0.001660948		2137.058	1.224142							0.02125303
0.002		2162.226	1.237499							0.02116433
0.003		2217.367	1.266671							0.02087538
0.004		2254.671	1.286338							0.02060202
0.005		2281.598	1.3005							0.02036424
0.006		2301.974	1.311199							0.02016136
0.007		2317.947	1.319573							0.01998835
0.008		2330.812	1.326312							0.01984002
0.009		2341.398	1.331852							0.01971194
0.01		2350.26	1.336487							0.01960054
0.011		2357.785	1.34042							0.01950295
0.012		2364.25	1.343797							0.01941692
0.013		2369.86	1.346727							0.01934063
0.014		2374.768	1.349289							0.01927264
0.015		2379.096	1.351547							0.01921175
0.016		2382.934	1.353549							0.01915699
0.017		2386.357	1.355335							0.01910757
0.018		2389.426	1.356935							0.0190628
0.019		2392.188	1.358375							0.01902212
0.02		2394.684	1.359676							0.01898505
0.021		2396.947	1.360855							0.0189512
0.022		2399.006	1.361928							0.0189202
0.023		2400.883	1.362906							0.01889176
0.024		2402.599	1.3638							0.01886562
0.025		2404.172	1.364619							0.01884155
0.026		2405.616	1.365371							0.01881935
0.027		2406.945	1.366063							0.01879885
0.028		2408.169	1.366701							0.01877988
0.029		2409.299	1.367289							0.01876232
0.03		2410.344	1.367833							0.01874603
0.031		2411.31	1.368336							0.01873092
0.032		2412.206	1.368803							0.01871688
0.033		2413.037	1.369236							0.01870382
0.034		2413.809	1.369637							0.01869166
0.035		2414.527	1.370011							0.01868034
0.036		2415.194	1.370358							0.01866979
0.037		2415.816	1.370682							0.01865994
0.038		2416.395	1.370983							0.01865076
0.039		2416.935	1.371264							0.01864218
0.04		2417.439	1.371527							0.01863416
0.041		2417.91	1.371771							0.01862666
0.042		2418.35	1.372							0.01861965
0.043		2418.761	1.372214							0.01861309
0.044		2419.145	1.372414							0.01860695
0.045		2419.505	1.372601							0.0186012
0.046		2419.841	1.372776							0.01859581
0.047		2420.156	1.37294							0.01859076
0.048		2420.452	1.373094							0.01858602
0.049		2420.728	1.373238							0.01858158
0.05		2420.988	1.373373							0.01857742
0.051		2421.231	1.373499							0.01857351
0.052		2421.459	1.373618							0.01856984
0.053		2421.673	1.373729							0.0185664
0.054		2421.874	1.373834							0.01856317
0.055		2422.062	1.373932							0.01856013
0.056		2422.24	1.374024							0.01855728
0.057		2422.406	1.374111							0.0185546
0.058		2422.562	1.374192							0.01855208
0.059		2422.709	1.374268							0.01854971
0.06		2422.846	1.37434							0.01854749
0.061		2422.976	1.374407							0.0185454
0.062		2423.098	1.374471							0.01854343
0.063		2423.212	1.37453							0.01854159
0.064		2423.32	1.374586							0.01853985
0.065		2423.421	1.374639							0.01853821
0.066		2423.516	1.374688							0.01853667
0.067		2423.606	1.374735							0.01853523
0.068		2423.69	1.374778							0.01853387
0.069		2423.769	1.37482							0.01853259
0.07		2423.843	1.374858							0.01853138
0.071		2423.913	1.374895							0.01853025
0.072		2423.979	1.374929							0.01852918
0.073		2424.041	1.374961							0.01852818
0.074		2424.1	1.374992							0.01852723
0.075		2424.155	1.37502							0.01852634
0.076		2424.206	1.375047							0.0185255
0.077		2424.255	1.375073							0.01852472
0.078		2424.301	1.375096							0.01852397
0.079		2424.344	1.375119							0.01852327
0.08		2424.385	1.37514							0.01852262
0.081		2424.423	1.37516							0.018522
0.082		2424.459	1.375179							0.01852141
0.083		2424.493	1.375196							0.01852087
0.084		2424.525	1.375213							0.01852035
0.085		2424.555	1.375228							0.01851986
0.086		2424.583	1.375243							0.0185194
0.087		2424.61	1.375257							0.01851897
0.088		2424.635	1.37527							0.01851856
0.089		2424.658	1.375282							0.01851818
0.09		2424.681	1.375294							0.01851782
0.091		2424.702	1.375305							0.01851748
0.092		2424.721	1.375315							0.01851716
0.093		2424.74	1.375325							0.01851686
0.094		2424.757	1.375334							0.01851658
0.095		2424.774	1.375342							0.01851631
0.096		2424.789	1.37535							0.01851606
0.097		2424.804	1.375358							0.01851582
0.098		2424.818	1.375365							0.0185156
0.099		2424.831	1.375372							0.01851539
0.1		2424.843	1.375378							0.01851519
