#1000/T,ms,T,us,sigma
1.22411,43.32254,816.920048034899,43322.54,4332.254
1.24369,29.03581,804.05888927305,29035.81,2903.581
1.23691,22.18401,808.466258660695,22184.01,2218.401
1.28588,18.28663,777.677543783246,18286.63,1828.663
1.28211,31.91213,779.964277636084,31912.13,3191.213
1.29793,31.32645,770.457574753646,31326.45,3132.645
1.30395,27.47178,766.900571340926,27471.78,2747.178
1.30998,25.48702,763.370433136384,25487.02,2548.702
1.31902,31.33678,758.138618064927,31336.78,3133.678
1.34011,30.5723,746.207400885002,30572.3,3057.23
1.38531,25.67723,721.860089077535,25677.23,2567.723
1.40038,29.10706,714.091889344321,29107.06,2910.706
1.41544,26.6721,706.494093709377,26672.1,2667.21
1.42147,27.18006,703.497084004587,27180.06,2718.006
1.44783,30.62386,690.688823964139,30623.86,3062.386
1.48324,34.72548,674.199724926512,34725.48,3472.548
1.49454,35.61186,669.102198669825,35611.86,3561.186
1.51638,38.40181,659.465305530276,38401.81,3840.181
1.53296,46.3432,652.332741884981,46343.2,4634.32
