#1000/T,ms,T,us,sigma
1.23164,6.30679,811.925562664415,6306.79,630.679
1.2452,5.63622,803.0838419531,5636.22,563.622
1.23766,4.91082,807.976342452693,4910.82,491.082
1.2452,4.64246,803.0838419531,4642.46,464.246
1.28136,4.07314,780.420802896922,4073.14,407.314
1.2919,3.82672,774.053719328121,3826.72,382.672
1.29868,3.46254,770.012628207103,3462.54,346.254
1.31902,3.39923,758.138618064927,3399.23,339.923
1.34011,4.20644,746.207400885002,4206.44,420.644
1.38531,5.79174,721.860089077535,5791.74,579.174
1.38682,6.48235,721.074111997231,6482.35,648.235
1.40188,6.81669,713.327816931549,6816.69,681.669
1.42448,7.92401,702.010558238796,7924.01,792.401
1.41544,8.12368,706.494093709377,8123.68,812.368
1.44859,10.18132,690.32645538075,10181.32,1018.132
1.48475,17.33916,673.514059605994,17339.16,1733.916
1.49529,18.57766,668.766593771108,18577.66,1857.766
1.51488,22.1417,660.118293198141,22141.7,2214.17
1.53371,30.47375,652.013744449733,30473.75,3047.375
1.53522,42.72433,651.372441734735,42724.33,4272.433
