#1000/T,Tig,T,us,sigma
0.77321,0.07623,1293.30970887598,76.23,7.623
0.78768,0.12124,1269.55108673573,121.24,12.124
0.84458,0.2666,1184.02045987355,266.6,26.66
0.85307,0.29099,1172.23674493301,290.99,29.099
0.8871,0.49206,1127.26862811408,492.06,49.206
0.88919,0.81049,1124.61903530179,810.49,81.049
0.9146,0.80342,1093.37415263503,803.42,80.342
0.92181,0.96559,1084.82225187403,965.59,96.559
0.94007,1,1063.75057176593,1000,100
0.97864,1.64714,1021.82620779858,1647.14,164.714
1.02174,2.33788,978.722571299939,2337.88,233.788
1.06225,3.55902,941.397975994352,3559.02,355.902
1.0617,5.05152,941.885655081473,5051.52,505.152
1.10213,5.91375,907.333980564906,5913.75,591.375
1.12172,6.92316,891.488071889598,6923.16,692.316
1.13137,4.42984,883.884140466868,4429.84,442.984
1.16191,3.40659,860.651857717035,3406.59,340.659
1.19122,3.37689,839.47549571028,3376.89,337.689
1.20228,3.14846,831.753002628339,3148.46,314.846
1.27133,3.14846,786.577835809743,3148.46,314.846
1.34234,3.12102,744.967742896733,3121.02,312.102
1.35275,2.9613,739.234891886897,2961.3,296.13
1.42125,4.1665,703.605980650836,4166.5,416.65
1.43174,5.23156,698.450836045651,5231.56,523.156
1.47234,11.10778,679.190947743049,11107.78,1110.778
1.50171,13.46721,665.907532080095,13467.21,1346.721
