"#Data_structure:",,,,,,,
"Sr","a","Ox","bg1","T","P","Tig","sigma"
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,684.32,30.31,120978,60489
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,698.71,30.24,85520,42760
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,719.03,29.78,54544,27272
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,718.84,29.65,54776,27388
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,740.79,29.62,46404,23202
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,736.66,28.85,46760,23380
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,762.34,29.4,47990,23995
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,794.22,29.65,58972,29486
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,793.21,29.48,63808,31904
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,806.6,30.03,54024,27012
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,808.6,30.23,51364,25682
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,817.78,29.05,53744,26872
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,820.07,29.45,52008,26004
"ing_Butanoate",0.0313,0.2035,0.7652,832.82,30,57700,5770
"ing_Butanoate",0.0313,0.2035,0.7652,845.45,30,37400,3740
"ing_Butanoate",0.0313,0.2035,0.7652,858.77,30,21600,2160
"ing_Butanoate",0.0313,0.2035,0.7652,869.05,30,12600,1260
"ing_Butanoate",0.0313,0.2035,0.7652,881.23,30,10000,1000
"ing_Butanoate",0.0313,0.2035,0.7652,895.8,30,5700,570
"ing_Butanoate",0.0313,0.2035,0.7652,908.54,30,4400,440
