scp109, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.06253082427966211, observed = 0.9529937709766, deviation = 0.123889190226958, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp110, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.0985243110103986, observed = 0.9258116459736663, deviation = 0.12035551397657662, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp111, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.13151834051357375, observed = 0.8788487938601638, deviation = 0.1142503432018213, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp112, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.1649408639064005, observed = 0.8352825377453068, deviation = 0.10858672990688989, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp113, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.19150748506480125, observed = 0.8141356866242636, deviation = 0.10583763926115428, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp114, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.21850260011285366, observed = 0.7676313281855094, deviation = 0.09979207266411623, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp115, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.25449608684359015, observed = 0.7440516534841692, deviation = 0.09672671495294201, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp116, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.2904895735743267, observed = 0.708027150468233, deviation = 0.09204352956087028, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp117, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.3294825175326246, observed = 0.6742296167296453, deviation = 0.0876498501748539, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp118, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.3646190164840578, observed = 0.648890823439475, deviation = 0.08435580704713176, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp119, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.39747021469068233, observed = 0.6261969460417302, deviation = 0.08140560298542492, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp120, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.4314640632697113, observed = 0.6053245673246179, deviation = 0.07869219375220034, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp121, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.4584591783177637, observed = 0.5827055460370361, deviation = 0.0757517209848147, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp122, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.49445266504850016, observed = 0.5717890299716009, deviation = 0.07433257389630811, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp123, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.5364450662343595, observed = 0.5462443823784824, deviation = 0.07101176970920271, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp124, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.5882928268822061, observed = 0.513026983493658, deviation = 0.06669350785417555, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp125, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.644425526426569, observed = 0.47747033116624027, deviation = 0.06207114305161124, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp126, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.6984157565226737, observed = 0.44996071068134347, deviation = 0.05849489238857465, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp127, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.7464070721636556, observed = 0.44799573778956514, deviation = 0.05823944591264347, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp128, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.7842002332309291, observed = 0.42297508296758757, deviation = 0.05498676078578638, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp129, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.8183940456251287, observed = 0.3942864787476237, deviation = 0.05125724223719108, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp130, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.8393902462180584, observed = 0.37005181308235735, deviation = 0.048106735700706456, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp131, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.8573869895834266, observed = 0.385444100734621, deviation = 0.05010773309550073, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp132, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.8921806934231388, observed = 0.37109979862463915, deviation = 0.04824297382120309, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp133, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.9242320363690802, observed = 0.34403931480072014, deviation = 0.04472511092409362, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp134, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.9623679925480747, observed = 0.3359922829581994, deviation = 0.043678996784565924, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp135, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.9863636503685659, observed = 0.30324273476189356, deviation = 0.039421555519046164, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp136, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.0013609365063725, observed = 0.3189625178961202, deviation = 0.04146512732649563, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
