scp1, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.0013927576601671099, observed = 1, deviation = 0.13, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp2, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.011540051411118746, observed = 0.9440858938672049, deviation = 0.12273116620273664, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp3, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.016539146790387704, observed = 0.8981055281995917, deviation = 0.11675371866594692, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp4, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.027855153203342586, observed = 0.8467153284671532, deviation = 0.11007299270072993, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp5, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.03553570923160976, observed = 0.8010358673457413, deviation = 0.10413466275494637, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp6, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.04353426183844006, observed = 0.7512565540873566, deviation = 0.09766335203135636, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp7, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.053532452596977975, observed = 0.7014772408289717, deviation = 0.09119204130776631, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp8, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.06253082427966211, observed = 0.6359781444363602, deviation = 0.08267715877672684, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp9, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.07242339832869077, observed = 0.5693430656934306, deviation = 0.07401459854014598, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp10, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.08552666302429934, observed = 0.5337995540638862, deviation = 0.06939394202830522, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp11, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.09552485378283726, observed = 0.4785838158049147, deviation = 0.06221589605463892, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp12, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.11052213992064414, observed = 0.4375158823667473, deviation = 0.05687706470767715, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp13, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.13051852143771991, observed = 0.3621919215152438, deviation = 0.0470849497969817, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp14, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.1645123700167489, observed = 0.2960378341587062, deviation = 0.03848491844063181, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp15, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.19150748506480125, observed = 0.2469135118642476, deviation = 0.03209875654235219, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp16, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.20612813370473532, observed = 0.21532846715328469, deviation = 0.02799270072992701, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp17, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.2245015145679764, observed = 0.185999352219119, deviation = 0.02417991578848547, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp18, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.25989510985320063, observed = 0.1643846504095572, deviation = 0.021370004553242436, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp19, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.27977722633303603, observed = 0.13631360909843782, deviation = 0.017720769182796917, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp20, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.3161515965212406, observed = 0.118360618677682, deviation = 0.01538688042809866, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp21, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.34747926089799275, observed = 0.11801129016358813, deviation = 0.015341467721266457, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp22, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.3774738331736066, observed = 0.09058900180721485, deviation = 0.011776570234937932, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp23, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.4110677541222939, observed = 0.09443161546224799, deviation = 0.01227611001009224, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp24, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.4224656915870272, observed = 0.053036186542117614, deviation = 0.0068947042504752904, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp25, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.44826102374405496, observed = 0.09364562630553674, deviation = 0.012173931419719777, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp26, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.4704570072280092, observed = 0.06286105100100925, deviation = 0.008171936630131202, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
